        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
           1        0.500       -4.500        0.000   0.96450321  -0.01437959   0.00000000
           2        0.500        5.500        0.000   0.90328445   0.00404609   0.00000000
           3        0.500       15.500        0.000   0.81221026   0.02411797   0.00000000
           4        0.500       25.500        0.000   0.69655063   0.05528644   0.00000000
           5        0.500       35.500        0.000   0.56610565   0.09742794   0.00000000
           6        0.500       45.500        0.000   0.43154258   0.14313971   0.00000000
           7        0.500       55.500        0.000   0.30536742   0.18655251   0.00000000
           8        0.500       65.500        0.000   0.19843022   0.21645279   0.00000000
           9        0.500       75.500        0.000   0.11253757   0.22183022   0.00000000
          10        0.500       85.500        0.000   0.03697816   0.19453303   0.00000000
          11        0.500       95.500        0.000  -0.03184305   0.13648195   0.00000000
          12        0.500      105.500        0.000  -0.08539068   0.06030684   0.00000000
          13        0.500      115.500        0.000  -0.12230916  -0.01868989   0.00000000
          14        0.500      125.500        0.000  -0.14861976  -0.08244087   0.00000000
          15        0.500      135.500        0.000  -0.16603291  -0.12495065   0.00000000
          16        0.500      145.500        0.000  -0.16706542  -0.13863457   0.00000000
          17        0.500      155.500        0.000  -0.13169670  -0.13222278   0.00000000
          18        0.500      165.500        0.000  -0.05601692  -0.11553896   0.00000000
          19        0.500      175.500        0.000   0.05162326  -0.09242013   0.00000000
          20        0.500      185.500        0.000   0.17854430  -0.06470476   0.00000000
          21        0.500      195.500        0.000   0.32218119  -0.03666888   0.00000000
          22        0.500      205.500        0.000   0.47845099  -0.01349214   0.00000000
          23        0.500      215.500        0.000   0.63928023   0.00253781   0.00000000
          24        0.500      225.500        0.000   0.79052602   0.01301630   0.00000000
          25        0.500      235.500        0.000   0.92245727   0.01975121   0.00000000
          26        0.500      245.500        0.000   1.02677926   0.02393051   0.00000000
          27        0.500      255.500        0.000   1.10462891   0.03579667   0.00000000
          28       10.500       -4.500        0.000   0.90616136  -0.00843014   0.00000000
          29       10.500        5.500        0.000   0.85458804   0.00497602   0.00000000
          30       10.500       15.500        0.000   0.76108798   0.02330312   0.00000000
          31       10.500       25.500        0.000   0.64017941   0.05128173   0.00000000
          32       10.500       35.500        0.000   0.50188329   0.08892767   0.00000000
          33       10.500       45.500        0.000   0.35700710   0.13100087   0.00000000
          34       10.500       55.500        0.000   0.21581085   0.17008344   0.00000000
          35       10.500       65.500        0.000   0.09023194   0.19666189   0.00000000
          36       10.500       75.500        0.000  -0.01476451   0.20079632   0.00000000
          37       10.500       85.500        0.000  -0.10409235   0.17387116   0.00000000
          38       10.500       95.500        0.000  -0.18972936   0.11665762   0.00000000
          39       10.500      105.500        0.000  -0.26110876   0.04329235   0.00000000
          40       10.500      115.500        0.000  -0.30452126  -0.02818746   0.00000000
          41       10.500      125.500        0.000  -0.33377521  -0.08835889   0.00000000
          42       10.500      135.500        0.000  -0.34473818  -0.12323235   0.00000000
          43       10.500      145.500        0.000  -0.33221835  -0.13228229   0.00000000
          44       10.500      155.500        0.000  -0.28449362  -0.12462962   0.00000000
          45       10.500      165.500        0.000  -0.19302213  -0.11081667   0.00000000
          46       10.500      175.500        0.000  -0.07476283  -0.08992607   0.00000000
          47       10.500      185.500        0.000   0.06319370  -0.06398554   0.00000000
          48       10.500      195.500        0.000   0.21919728  -0.03693401   0.00000000
          49       10.500      205.500        0.000   0.38922992  -0.01558361   0.00000000
          50       10.500      215.500        0.000   0.56002318  -0.00009512   0.00000000
          51       10.500      225.500        0.000   0.71882934   0.00988280   0.00000000
          52       10.500      235.500        0.000   0.85575196   0.01580566   0.00000000
          53       10.500      245.500        0.000   0.96230299   0.01942545   0.00000000
          54       10.500      255.500        0.000   1.02447469   0.02692161   0.00000000
          55       20.500       -4.500        0.000   0.81478906  -0.01036738   0.00000000
          56       20.500        5.500        0.000   0.76543170   0.00132188   0.00000000
          57       20.500       15.500        0.000   0.66632534   0.01590020   0.00000000
          58       20.500       25.500        0.000   0.53128827   0.03828354   0.00000000
          59       20.500       35.500        0.000   0.37241934   0.06955888   0.00000000
          60       20.500       45.500        0.000   0.20183214   0.10692183   0.00000000
          61       20.500       55.500        0.000   0.02959498   0.14364269   0.00000000
          62       20.500       65.500        0.000  -0.14011184   0.16498687   0.00000000
          63       20.500       75.500        0.000  -0.28631578   0.16843560   0.00000000
          64       20.500       85.500        0.000  -0.41040088   0.14276880   0.00000000
          65       20.500       95.500        0.000  -0.52319995   0.07951389   0.00000000
          66       20.500      105.500        0.000  -0.62551079   0.00796674   0.00000000
          67       20.500      115.500        0.000  -0.71531752  -0.05925477   0.00000000
          68       20.500      125.500        0.000  -0.74974897  -0.10476667   0.00000000
          69       20.500      135.500        0.000  -0.73774852  -0.12723479   0.00000000
          70       20.500      145.500        0.000  -0.68490856  -0.12263038   0.00000000
          71       20.500      155.500        0.000  -0.61057255  -0.11139838   0.00000000
          72       20.500      165.500        0.000  -0.49409825  -0.10161484   0.00000000
          73       20.500      175.500        0.000  -0.34595115  -0.08835301   0.00000000
          74       20.500      185.500        0.000  -0.18706328  -0.05912399   0.00000000
          75       20.500      195.500        0.000   0.00429211  -0.03502418   0.00000000
          76       20.500      205.500        0.000   0.20748201  -0.01677439   0.00000000
          77       20.500      215.500        0.000   0.40204650  -0.00259790   0.00000000
          78       20.500      225.500        0.000   0.58226106   0.00583535   0.00000000
          79       20.500      235.500        0.000   0.73288879   0.01033362   0.00000000
          80       20.500      245.500        0.000   0.84490912   0.01255502   0.00000000
          81       20.500      255.500        0.000   0.90386958   0.01892327   0.00000000
          82       30.500       -4.500        0.000   0.70469423  -0.01174263   0.00000000
          83       30.500        5.500        0.000   0.65078725  -0.00388942   0.00000000
          84       30.500       15.500        0.000   0.53726090   0.00501559   0.00000000
          85       30.500       25.500        0.000   0.37936985   0.01927581   0.00000000
          86       30.500       35.500        0.000   0.19074265   0.04206389   0.00000000
          87       30.500       45.500        0.000  -0.02012422   0.07269612   0.00000000
          88       30.500       55.500        0.000  -0.23665791   0.10735075   0.00000000
          89       30.500       65.500        0.000  -0.45510120   0.12969738   0.00000000
          90       30.500       75.500        0.000  -0.68418026   0.11403671   0.00000000
          91       30.500       85.500        0.000  -0.90828092   0.07967688   0.00000000
          92       30.500       95.500        0.000  -1.12259822   0.00716637   0.00000000
          93       30.500      105.500        0.000  -1.26062270  -0.06442182   0.00000000
          94       30.500      115.500        0.000  -1.34425503  -0.09473909   0.00000000
          95       30.500      125.500        0.000  -1.39984283  -0.12396771   0.00000000
          96       30.500      135.500        0.000  -1.38343380  -0.11542523   0.00000000
          97       30.500      145.500        0.000  -1.29589978  -0.09942986   0.00000000
          98       30.500      155.500        0.000  -1.15595690  -0.09189850   0.00000000
          99       30.500      165.500        0.000  -0.98945150  -0.08812577   0.00000000
         100       30.500      175.500        0.000  -0.77829814  -0.07546566   0.00000000
         101       30.500      185.500        0.000  -0.55506955  -0.05463644   0.00000000
         102       30.500      195.500        0.000  -0.29881472  -0.03773324   0.00000000
         103       30.500      205.500        0.000  -0.06432478  -0.01535942   0.00000000
         104       30.500      215.500        0.000   0.17951731  -0.00781204   0.00000000
         105       30.500      225.500        0.000   0.39029234   0.00002116   0.00000000
         106       30.500      235.500        0.000   0.56409404   0.00218840   0.00000000
         107       30.500      245.500        0.000   0.68974885   0.00297409   0.00000000
         108       30.500      255.500        0.000   0.75195091   0.00795873   0.00000000
         109       40.500       -4.500        0.000   0.58053348  -0.01048912   0.00000000
         110       40.500        5.500        0.000   0.51769259  -0.00663552   0.00000000
         111       40.500       15.500        0.000   0.38433796  -0.00323878   0.00000000
         112       40.500       25.500        0.000   0.19533023   0.00046753   0.00000000
         113       40.500       35.500        0.000  -0.03477238   0.01247944   0.00000000
         114       40.500       45.500        0.000  -0.28330679   0.03652560   0.00000000
         115       40.500       55.500        0.000  -0.55830319   0.06472789   0.00000000
         116       40.500       65.500        0.000  -0.85955231   0.07092130   0.00000000
         117       40.500       75.500        0.000  -1.14830500   0.04616910   0.00000000
         118       40.500       85.500        0.000  -1.43131740   0.01009467   0.00000000
         119       40.500       95.500        0.000  -1.68547541  -0.04010524   0.00000000
         120       40.500      105.500        0.000  -1.90852586  -0.09349213   0.00000000
         121       40.500      115.500        0.000  -2.06654212  -0.12433650   0.00000000
         122       40.500      125.500        0.000  -2.14701003  -0.13618869   0.00000000
         123       40.500      135.500        0.000  -2.14725256  -0.12165197   0.00000000
         124       40.500      145.500        0.000  -2.04750599  -0.10133263   0.00000000
         125       40.500      155.500        0.000  -1.85239931  -0.09782894   0.00000000
         126       40.500      165.500        0.000  -1.58962615  -0.10267112   0.00000000
         127       40.500      175.500        0.000  -1.27901615  -0.11006161   0.00000000
         128       40.500      185.500        0.000  -1.01551153  -0.08134819   0.00000000
         129       40.500      195.500        0.000  -0.74522217  -0.00532980   0.00000000
         130       40.500      205.500        0.000  -0.38057795  -0.03309438   0.00000000
         131       40.500      215.500        0.000  -0.10453225  -0.00852083   0.00000000
         132       40.500      225.500        0.000   0.15309748  -0.00969824   0.00000000
         133       40.500      235.500        0.000   0.35814145  -0.00951361   0.00000000
         134       40.500      245.500        0.000   0.50449087  -0.00807799   0.00000000
         135       40.500      255.500        0.000   0.57411920  -0.00297853   0.00000000
         136       50.500       -4.500        0.000   0.44760250  -0.00771551   0.00000000
         137       50.500        5.500        0.000   0.37470892  -0.00638757   0.00000000
         138       50.500       15.500        0.000   0.21831817  -0.00334780   0.00000000
         139       50.500       25.500        0.000  -0.00800509  -0.00683908   0.00000000
         140       50.500       35.500        0.000  -0.28501223  -0.00959378   0.00000000
         141       50.500       45.500        0.000  -0.59487011   0.01058670   0.00000000
         142       50.500       55.500        0.000  -0.91001202   0.04677454   0.00000000
         143       50.500       65.500        0.000  -1.29803266   0.03238371   0.00000000
         144       50.500       75.500        0.000  -1.71827206  -0.01003408   0.00000000
         145       50.500       85.500        0.000  -2.11125688  -0.05765855   0.00000000
         146       50.500       95.500        0.000  -2.45944178  -0.09540542   0.00000000
         147       50.500      105.500        0.000  -2.74558699  -0.13341198   0.00000000
         148       50.500      115.500        0.000  -2.94762636  -0.16053639   0.00000000
         149       50.500      125.500        0.000  -3.05230260  -0.16659689   0.00000000
         150       50.500      135.500        0.000  -3.05016754  -0.15093975   0.00000000
         151       50.500      145.500        0.000  -2.92527442  -0.12934641   0.00000000
         152       50.500      155.500        0.000  -2.68257076  -0.11675935   0.00000000
         153       50.500      165.500        0.000  -2.34387560  -0.12329118   0.00000000
         154       50.500      175.500        0.000  -1.95157188  -0.12761343   0.00000000
         155       50.500      185.500        0.000  -1.52744357  -0.12027010   0.00000000
         156       50.500      195.500        0.000  -1.11001358  -0.10559228   0.00000000
         157       50.500      205.500        0.000  -0.81840455   0.01468636   0.00000000
         158       50.500      215.500        0.000  -0.42077769  -0.02892737   0.00000000
         159       50.500      225.500        0.000  -0.12194814  -0.02568105   0.00000000
         160       50.500      235.500        0.000   0.12962590  -0.02848689   0.00000000
         161       50.500      245.500        0.000   0.30011928  -0.01635172   0.00000000
         162       50.500      255.500        0.000   0.37827120  -0.00895633   0.00000000
         163       60.500       -4.500        0.000   0.31143758  -0.00175716   0.00000000
         164       60.500        5.500        0.000   0.22931208  -0.00264252   0.00000000
         165       60.500       15.500        0.000   0.04686571  -0.00273350   0.00000000
         166       60.500       25.500        0.000  -0.21567421   0.01174256   0.00000000
         167       60.500       35.500        0.000  -0.55674084  -0.00764251   0.00000000
         168       60.500       45.500        0.000  -0.89834268   0.04244994   0.00000000
         169       60.500       55.500        0.000  -1.35756375   0.01180160   0.00000000
         170       60.500       65.500        0.000  -1.86079909  -0.01739699   0.00000000
         171       60.500       75.500        0.000  -2.37705399  -0.06019139   0.00000000
         172       60.500       85.500        0.000  -2.87465996  -0.10746271   0.00000000
         173       60.500       95.500        0.000  -3.31657876  -0.14531785   0.00000000
         174       60.500      105.500        0.000  -3.67348549  -0.17865410   0.00000000
         175       60.500      115.500        0.000  -3.91744968  -0.20039687   0.00000000
         176       60.500      125.500        0.000  -4.04234395  -0.21297874   0.00000000
         177       60.500      135.500        0.000  -4.03849101  -0.19640551   0.00000000
         178       60.500      145.500        0.000  -3.89057015  -0.17228304   0.00000000
         179       60.500      155.500        0.000  -3.59543371  -0.15644506   0.00000000
         180       60.500      165.500        0.000  -3.17627633  -0.14882370   0.00000000
         181       60.500      175.500        0.000  -2.67901308  -0.14560318   0.00000000
         182       60.500      185.500        0.000  -2.14933401  -0.14635767   0.00000000
         183       60.500      195.500        0.000  -1.64534760  -0.13776039   0.00000000
         184       60.500      205.500        0.000  -1.16511991  -0.13144716   0.00000000
         185       60.500      215.500        0.000  -0.81194666  -0.02698740   0.00000000
         186       60.500      225.500        0.000  -0.40228300  -0.07769847   0.00000000
         187       60.500      235.500        0.000  -0.11733948  -0.03421630   0.00000000
         188       60.500      245.500        0.000   0.09310032  -0.01936768   0.00000000
         189       60.500      255.500        0.000   0.18302588  -0.01215068   0.00000000
         190       70.500       -4.500        0.000   0.16913860  -0.00766382   0.00000000
         191       70.500        5.500        0.000   0.08066973  -0.00423742   0.00000000
         192       70.500       15.500        0.000  -0.11652519   0.01089672   0.00000000
         193       70.500       25.500        0.000  -0.43987424  -0.00815853   0.00000000
         194       70.500       35.500        0.000  -0.79709391   0.04937752   0.00000000
         195       70.500       45.500        0.000  -1.28560894   0.02241920   0.00000000
         196       70.500       55.500        0.000  -1.83914001  -0.01721381   0.00000000
         197       70.500       65.500        0.000  -2.44175523  -0.06714260   0.00000000
         198       70.500       75.500        0.000  -3.05994098  -0.11084958   0.00000000
         199       70.500       85.500        0.000  -3.66627734  -0.15749966   0.00000000
         200       70.500       95.500        0.000  -4.20957030  -0.19513989   0.00000000
         201       70.500      105.500        0.000  -4.63942301  -0.22091436   0.00000000
         202       70.500      115.500        0.000  -4.92382985  -0.24153189   0.00000000
         203       70.500      125.500        0.000  -5.05831924  -0.25674420   0.00000000
         204       70.500      135.500        0.000  -5.05417082  -0.26528162   0.00000000
         205       70.500      145.500        0.000  -4.88778671  -0.24755478   0.00000000
         206       70.500      155.500        0.000  -4.53253111  -0.20538151   0.00000000
         207       70.500      165.500        0.000  -4.01409988  -0.16871018   0.00000000
         208       70.500      175.500        0.000  -3.40191921  -0.15590116   0.00000000
         209       70.500      185.500        0.000  -2.79361451  -0.16468881   0.00000000
         210       70.500      195.500        0.000  -2.18328382  -0.16907053   0.00000000
         211       70.500      205.500        0.000  -1.61982134  -0.16279266   0.00000000
         212       70.500      215.500        0.000  -1.13406086  -0.12936711   0.00000000
         213       70.500      225.500        0.000  -0.73472533  -0.05110039   0.00000000
         214       70.500      235.500        0.000  -0.33992230  -0.04664639   0.00000000
         215       70.500      245.500        0.000  -0.10674304  -0.00737753   0.00000000
         216       70.500      255.500        0.000  -0.00959256   0.00794484   0.00000000
         217       80.500       -4.500        0.000   0.03174226  -0.01009978   0.00000000
         218       80.500        5.500        0.000  -0.06598491  -0.00831341   0.00000000
         219       80.500       15.500        0.000  -0.29670720  -0.00176202   0.00000000
         220       80.500       25.500        0.000  -0.65043304   0.01728338   0.00000000
         221       80.500       35.500        0.000  -1.10538658   0.03992852   0.00000000
         222       80.500       45.500        0.000  -1.66476574   0.00061357   0.00000000
         223       80.500       55.500        0.000  -2.30490327  -0.05605980   0.00000000
         224       80.500       65.500        0.000  -2.99266284  -0.10713300   0.00000000
         225       80.500       75.500        0.000  -3.70548851  -0.16383657   0.00000000
         226       80.500       85.500        0.000  -4.41503941  -0.21165635   0.00000000
         227       80.500       95.500        0.000  -5.06575380  -0.24917615   0.00000000
         228       80.500      105.500        0.000  -5.57601922  -0.26440176   0.00000000
         229       80.500      115.500        0.000  -5.91059812  -0.28191637   0.00000000
