Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
       1    0.0000541896  -0.0000355911  -0.0001674400   0.0002216297   0.0001485277
       2    0.0000875923  -0.0000061266  -0.0001123452   0.0001999375   0.0001332798
       3    0.0001377687  -0.0000062537  -0.0000872123   0.0002249810   0.0001518264
       4    0.0001550255  -0.0000100261  -0.0000730546   0.0002280802   0.0001569261
       5    0.0001567495  -0.0000117111  -0.0000601085   0.0002168580   0.0001516660
       6    0.0001427074  -0.0000130190  -0.0000479486   0.0001906560   0.0001352409
       7    0.0001154871  -0.0000166048  -0.0000357816   0.0001512687   0.0001097310
       8    0.0000776971  -0.0000233642  -0.0000257444   0.0001034415   0.0000786709
       9    0.0000404169  -0.0000110677  -0.0000503331   0.0000907500   0.0000606376
      10    0.0000264501  -0.0000019854  -0.0001111826   0.0001376328   0.0000968061
      11    0.0000391628  -0.0000036753  -0.0002126757   0.0002518385   0.0001795284
      12    0.0000782127  -0.0000054328  -0.0003847484   0.0004629612   0.0003287100
      13    0.0001630157   0.0000071451  -0.0006630271   0.0008260428   0.0005847604
      14    0.0000469593  -0.0000234321  -0.0001196312   0.0001665905   0.0001114212
      15    0.0000597570   0.0000013974  -0.0000768211   0.0001365781   0.0000913047
      16    0.0000830012   0.0000065293  -0.0000513485   0.0001343497   0.0000897855
      17    0.0000894941   0.0000043627  -0.0000407583   0.0001302525   0.0000881247
      18    0.0000859693   0.0000020168  -0.0000327983   0.0001187676   0.0000813457
      19    0.0000745443  -0.0000004938  -0.0000270048   0.0001015491   0.0000701768
      20    0.0000571666  -0.0000039047  -0.0000238264   0.0000809931   0.0000562288
      21    0.0000354582  -0.0000098185  -0.0000231964   0.0000586546   0.0000409550
      22    0.0000159180  -0.0000218751  -0.0000277782   0.0000436962   0.0000315878
      23    0.0000089518  -0.0000284654  -0.0000626068   0.0000715586   0.0000476871
      24    0.0000092309  -0.0000350716  -0.0001244497   0.0001336807   0.0000907263
      25    0.0000341653  -0.0000486938  -0.0002402030   0.0002743683   0.0001874931
      26    0.0000787824  -0.0000698811  -0.0003632739   0.0004420563   0.0002997010
      27    0.0000535157  -0.0000096986  -0.0000993395   0.0001528553   0.0001023341
      28    0.0000508746   0.0000123293  -0.0000554527   0.0001063273   0.0000717195
      29    0.0000504453   0.0000253117  -0.0000317245   0.0000821698   0.0000560977
      30    0.0000455479   0.0000279515  -0.0000272465   0.0000727944   0.0000506043
      31    0.0000368772   0.0000271234  -0.0000240108   0.0000608880   0.0000435727
      32    0.0000266428   0.0000228127  -0.0000216268   0.0000482696   0.0000357485
      33    0.0000173119   0.0000143302  -0.0000209282   0.0000382401   0.0000283384
      34    0.0000091470   0.0000031375  -0.0000236258   0.0000327728   0.0000232458
      35    0.0000012343  -0.0000059481  -0.0000345278   0.0000357621   0.0000252052
      36   -0.0000029048  -0.0000163842  -0.0000580239   0.0000551190   0.0000382829
      37   -0.0000036680  -0.0000322642  -0.0000980339   0.0000943660   0.0000644695
      38    0.0000195479  -0.0000700497  -0.0001710757   0.0001906236   0.0001270644
      39    0.0000711205  -0.0001062035  -0.0002648050   0.0003359255   0.0002239005
      40    0.0000578765   0.0000047168  -0.0000846513   0.0001425278   0.0000959641
      41    0.0000571080   0.0000157824  -0.0000446993   0.0001018073   0.0000682203
      42    0.0000569546   0.0000213302  -0.0000239981   0.0000809527   0.0000540576
      43    0.0000543442   0.0000197567  -0.0000227863   0.0000771304   0.0000514733
      44    0.0000478827   0.0000156166  -0.0000222209   0.0000701036   0.0000467503
      45    0.0000380741   0.0000111918  -0.0000222552   0.0000603293   0.0000402690
      46    0.0000250223   0.0000080719  -0.0000236756   0.0000486979   0.0000329367
      47    0.0000106114   0.0000055028  -0.0000278931   0.0000385044   0.0000278626
      48    0.0000044204  -0.0000024101  -0.0000405797   0.0000450001   0.0000323104
      49   -0.0000003968  -0.0000076440  -0.0000689444   0.0000685476   0.0000501744
      50   -0.0000089674  -0.0000106726  -0.0001169979   0.0001080305   0.0000824524
