        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
           1       -4.500      -14.500       -9.500  -0.00231201  50.00043572   0.00330651
           2       -4.500        5.500       -9.500  -0.00430941  49.99977044   0.00207416
           3       -4.500       25.500       -9.500  -0.00462419  49.99956882   0.00175133
           4       -4.500       45.500       -9.500  -0.00446996  49.99942777   0.00148386
           5       -4.500       65.500       -9.500  -0.00393958  49.99934393   0.00125312
           6       -4.500       85.500       -9.500  -0.00321924  49.99930411   0.00102680
           7       -4.500      105.500       -9.500  -0.00234428  49.99928216   0.00075812
           8       -4.500      125.500       -9.500  -0.00127903  49.99925421   0.00044766
           9       -4.500      145.500       -9.500   0.00001720  49.99921594   0.00013811
          10       -4.500      165.500       -9.500   0.00165141  49.99922293  -0.00014281
          11       -4.500      185.500       -9.500   0.00394111  49.99929975  -0.00038279
          12       -4.500      205.500       -9.500   0.00710472  49.99944025  -0.00052972
          13       -4.500      225.500       -9.500   0.01453470  49.99994233   0.00019848
          14       15.500      -14.500       -9.500  -0.00195785  50.00158842   0.00126072
          15       15.500        5.500       -9.500  -0.00260760  50.00070701   0.00027052
          16       15.500       25.500       -9.500  -0.00240622  50.00053383   0.00010611
          17       15.500       45.500       -9.500  -0.00202635  50.00041350   0.00002961
          18       15.500       65.500       -9.500  -0.00153314  50.00033485   0.00001912
          19       15.500       85.500       -9.500  -0.00106848  50.00027019   0.00005895
          20       15.500      105.500       -9.500  -0.00069334  50.00020156   0.00012035
          21       15.500      125.500       -9.500  -0.00039529  50.00011129   0.00021804
          22       15.500      145.500       -9.500  -0.00011715  50.00000606   0.00037172
          23       15.500      165.500       -9.500   0.00025345  49.99991714   0.00060458
          24       15.500      185.500       -9.500   0.00093345  49.99986439   0.00097160
          25       15.500      205.500       -9.500   0.00208696  49.99985130   0.00152499
          26       15.500      225.500       -9.500   0.00542884  50.00043459   0.00364410
          27       35.500      -14.500       -9.500  -0.00198187  50.00172925   0.00054286
          28       35.500        5.500       -9.500  -0.00180043  50.00090149  -0.00027656
          29       35.500       25.500       -9.500  -0.00149873  50.00083661  -0.00038047
          30       35.500       45.500       -9.500  -0.00110971  50.00078192  -0.00039035
          31       35.500       65.500       -9.500  -0.00070249  50.00072567  -0.00032551
          32       35.500       85.500       -9.500  -0.00037564  50.00066470  -0.00020470
          33       35.500      105.500       -9.500  -0.00019333  50.00058046  -0.00004251
          34       35.500      125.500       -9.500  -0.00015651  50.00046544   0.00018010
          35       35.500      145.500       -9.500  -0.00020528  50.00032293   0.00047073
          36       35.500      165.500       -9.500  -0.00023859  50.00016771   0.00086207
          37       35.500      185.500       -9.500  -0.00013023  49.99999771   0.00143458
          38       35.500      205.500       -9.500   0.00021954  49.99980312   0.00224851
          39       35.500      225.500       -9.500   0.00096444  50.00021798   0.00514150
          40       55.500      -14.500       -9.500  -0.00200296  50.00158193   0.00022141
          41       55.500        5.500       -9.500  -0.00135234  50.00095667  -0.00049118
          42       55.500       25.500       -9.500  -0.00098721  50.00097835  -0.00056647
          43       55.500       45.500       -9.500  -0.00061245  50.00097035  -0.00054603
          44       55.500       65.500       -9.500  -0.00028249  50.00093430  -0.00045463
          45       55.500       85.500       -9.500  -0.00004851  50.00087252  -0.00030427
          46       55.500      105.500       -9.500   0.00004288  50.00078350  -0.00010907
          47       55.500      125.500       -9.500  -0.00002260  50.00066622   0.00015412
          48       55.500      145.500       -9.500  -0.00019726  50.00052628   0.00049503
          49       55.500      165.500       -9.500  -0.00039471  50.00034796   0.00094614
          50       55.500      185.500       -9.500  -0.00059487  50.00011163   0.00161160
          51       55.500      205.500       -9.500  -0.00079144  49.99977529   0.00256399
          52       55.500      225.500       -9.500  -0.00173846  49.99989791   0.00582127
          53       75.500      -14.500       -9.500  -0.00199958  50.00133271   0.00004335
          54       75.500        5.500       -9.500  -0.00101920  50.00095442  -0.00057217
          55       75.500       25.500       -9.500  -0.00062176  50.00105557  -0.00062423
          56       75.500       45.500       -9.500  -0.00027820  50.00110044  -0.00058734
          57       75.500       65.500       -9.500  -0.00000880  50.00108004  -0.00048351
          58       75.500       85.500       -9.500   0.00016150  50.00102499  -0.00032545
          59       75.500      105.500       -9.500   0.00019885  50.00094215  -0.00012226
          60       75.500      125.500       -9.500   0.00009185  50.00083061   0.00014673
          61       75.500      145.500       -9.500  -0.00012308  50.00070065   0.00049792
          62       75.500      165.500       -9.500  -0.00040190  50.00051709   0.00096316
          63       75.500      185.500       -9.500  -0.00081341  50.00022108   0.00165602
          64       75.500      205.500       -9.500  -0.00141023  49.99978198   0.00265206
          65       75.500      225.500       -9.500  -0.00367691  49.99959306   0.00603239
          66       95.500      -14.500       -9.500  -0.00189706  50.00100413  -0.00003598
          67       95.500        5.500       -9.500  -0.00072648  50.00092763  -0.00056132
          68       95.500       25.500       -9.500  -0.00033350  50.00109276  -0.00059476
          69       95.500       45.500       -9.500  -0.00002333  50.00118567  -0.00055070
          70       95.500       65.500       -9.500   0.00019578  50.00119003  -0.00045016
          71       95.500       85.500       -9.500   0.00032526  50.00115109  -0.00030041
          72       95.500      105.500       -9.500   0.00033021  50.00107884  -0.00009897
          73       95.500      125.500       -9.500   0.00021335  50.00098441   0.00016799
          74       95.500      145.500       -9.500  -0.00000744  50.00085899   0.00051065
          75       95.500      165.500       -9.500  -0.00034173  50.00066931   0.00096670
          76       95.500      185.500       -9.500  -0.00089026  50.00032732   0.00163377
          77       95.500      205.500       -9.500  -0.00175075  49.99981682   0.00258290
          78       95.500      225.500       -9.500  -0.00489816  49.99930750   0.00580930
          79      115.500      -14.500       -9.500  -0.00163985  50.00056261  -0.00002645
          80      115.500        5.500       -9.500  -0.00047488  50.00088678  -0.00047991
          81      115.500       25.500       -9.500  -0.00010744  50.00111177  -0.00050353
          82      115.500       45.500       -9.500   0.00017784  50.00123581  -0.00046163
          83      115.500       65.500       -9.500   0.00036411  50.00126775  -0.00036891
          84      115.500       85.500       -9.500   0.00046489  50.00124334  -0.00022710
          85      115.500      105.500       -9.500   0.00045308  50.00118909  -0.00003763
          86      115.500      125.500       -9.500   0.00033150  50.00110614   0.00021880
          87      115.500      145.500       -9.500   0.00009675  50.00098865   0.00054853
          88      115.500      165.500       -9.500  -0.00026684  50.00078993   0.00096161
          89      115.500      185.500       -9.500  -0.00089305  50.00042972   0.00154351
          90      115.500      205.500       -9.500  -0.00187415  49.99988042   0.00234953
          91      115.500      225.500       -9.500  -0.00533024  49.99898908   0.00507063
          92      135.500      -14.500       -9.500  -0.00128553  50.00006746   0.00010041
          93      135.500        5.500       -9.500  -0.00028338  50.00081783  -0.00029366
          94      135.500       25.500       -9.500   0.00003736  50.00109186  -0.00031585
          95      135.500       45.500       -9.500   0.00029688  50.00125057  -0.00028794
          96      135.500       65.500       -9.500   0.00046609  50.00131368  -0.00022033
          97      135.500       85.500       -9.500   0.00056075  50.00131465  -0.00010287
          98      135.500      105.500       -9.500   0.00055298  50.00128203   0.00006375
          99      135.500      125.500       -9.500   0.00042966  50.00120792   0.00029401
         100      135.500      145.500       -9.500   0.00018661  50.00109340   0.00058389
         101      135.500      165.500       -9.500  -0.00019099  50.00088425   0.00092420
         102      135.500      185.500       -9.500  -0.00082773  50.00052190   0.00136269
         103      135.500      205.500       -9.500  -0.00178194  49.99996813   0.00193223
         104      135.500      225.500       -9.500  -0.00507869  49.99871661   0.00388282
         105      155.500      -14.500       -9.500  -0.00090832  49.99948844   0.00039021
         106      155.500        5.500       -9.500  -0.00020867  50.00070470   0.00003984
         107      155.500       25.500       -9.500   0.00003538  50.00101325   0.00001333
         108      155.500       45.500       -9.500   0.00025370  50.00120995   0.00001240
         109      155.500       65.500       -9.500   0.00041838  50.00129623   0.00003930
         110      155.500       85.500       -9.500   0.00053054  50.00132796   0.00010623
         111      155.500      105.500       -9.500   0.00055850  50.00132532   0.00021703
         112      155.500      125.500       -9.500   0.00047926  50.00126583   0.00037753
         113      155.500      145.500       -9.500   0.00026833  50.00115181   0.00057190
         114      155.500      165.500       -9.500  -0.00007808  50.00095075   0.00078640
         115      155.500      185.500       -9.500  -0.00063438  50.00060549   0.00101027
         116      155.500      205.500       -9.500  -0.00141479  50.00008640   0.00124809
         117      155.500      225.500       -9.500  -0.00413814  49.99847803   0.00220455
         118      175.500      -14.500       -9.500  -0.00049335  49.99841579   0.00109124
         119      175.500        5.500       -9.500  -0.00039229  50.00043564   0.00076079
         120      175.500       25.500       -9.500  -0.00026732  50.00078581   0.00070255
         121      175.500       45.500       -9.500  -0.00010828  50.00101332   0.00063880
         122      175.500       65.500       -9.500   0.00005968  50.00113613   0.00057039
         123      175.500       85.500       -9.500   0.00021847  50.00120546   0.00052548
         124      175.500      105.500       -9.500   0.00034151  50.00124469   0.00049086
         125      175.500      125.500       -9.500   0.00039606  50.00121960   0.00046693
         126      175.500      145.500       -9.500   0.00033150  50.00113292   0.00043910
         127      175.500      165.500       -9.500   0.00015651  50.00096501   0.00038341
         128      175.500      185.500       -9.500  -0.00014874  50.00066229   0.00024372
         129      175.500      205.500       -9.500  -0.00055767  50.00021408  -0.00000394
         130      175.500      225.500       -9.500  -0.00201606  49.99792095  -0.00057242
         131      195.500      -14.500       -9.500  -0.00032571  49.99562891   0.00323409
         132      195.500        5.500       -9.500  -0.00127920  49.99919415   0.00292629
         133      195.500       25.500       -9.500  -0.00157311  50.00002543   0.00280271
         134      195.500       45.500       -9.500  -0.00165662  50.00059209   0.00257697
         135      195.500       65.500       -9.500  -0.00157949  50.00093538   0.00225823
         136      195.500       85.500       -9.500  -0.00134666  50.00117157   0.00186949
         137      195.500      105.500       -9.500  -0.00097724  50.00131323   0.00137735
         138      195.500      125.500       -9.500  -0.00050145  50.00132062   0.00076393
         139      195.500      145.500       -9.500  -0.00002456  50.00119297   0.00003286
         140      195.500      165.500       -9.500   0.00045546  50.00091426  -0.00083733
         141      195.500      185.500       -9.500   0.00101506  50.00039808  -0.00197369
         142      195.500      205.500       -9.500   0.00170489  49.99959666  -0.00342516
         143      195.500      225.500       -9.500   0.00255484  49.99588501  -0.00639073
         144       -4.500      -14.500       10.500   0.00046262  49.99957512   0.00121654
