
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     17:59:09  JUL 26, 2019 CP=      0.602

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
       1    0.0072000408  -0.0002600925  -0.0038590794   0.0110591202   0.0075154759
       2    0.0025204882   0.0005513998  -0.0007452272   0.0032657154   0.0031622536
       3    0.0026298057   0.0010176086  -0.0026136992   0.0052435048   0.0038763000
       4    0.0015838387  -0.0000691874  -0.0020180593   0.0036018980   0.0024275174
       5    0.0004415342  -0.0001840803  -0.0019827160   0.0024242502   0.0019217417
       6    0.0004212177  -0.0003864573  -0.0016578417   0.0020790594   0.0017200007
       7    0.0004385387  -0.0001555718  -0.0011741116   0.0016126503   0.0011123962
       8    0.0005730830  -0.0003395168  -0.0009867527   0.0015598357   0.0010920325
       9    0.0012102297   0.0000650520  -0.0021482156   0.0033584453   0.0024499618
      10    0.0015667781   0.0008170640  -0.0022323310   0.0037991091   0.0032040272
      11    0.0050211492  -0.0010704501  -0.0029233247   0.0079444740   0.0055378043
      12    0.0037716594   0.0007981996  -0.0021402556   0.0059119150   0.0041889527
      13    0.0023645146   0.0002420066  -0.0008079008   0.0031724154   0.0023084839
      14    0.0015970604   0.0005610202  -0.0013519548   0.0029490152   0.0020586026
      15    0.0008138797  -0.0001808039  -0.0010399195   0.0018537992   0.0016735616
      16    0.0003780549  -0.0007923411  -0.0009562343   0.0013342893   0.0012797285
      17    0.0000704729  -0.0005118897  -0.0007908671   0.0008613399   0.0009598320
      18    0.0005202815  -0.0004021083  -0.0009187392   0.0014390208   0.0010616428
      19    0.0004945051  -0.0003588115  -0.0008614915   0.0013559966   0.0009655463
      20    0.0004508486   0.0001002016  -0.0010474722   0.0014983208   0.0011492006
      21    0.0007693727   0.0000098017  -0.0005744241   0.0013437967   0.0013674364
      22    0.0021644177  -0.0002660264  -0.0013283391   0.0034927568   0.0026911843
      23    0.0009194314   0.0000826266  -0.0004421181   0.0013615495   0.0017455769
      24    0.0010166261  -0.0002563764  -0.0004127551   0.0014293812   0.0011117602
      25    0.0011019488  -0.0002476168  -0.0008637330   0.0019656818   0.0014242710
      26    0.0007710489  -0.0000207591  -0.0013172973   0.0020883462   0.0014872378
      27    0.0012303784  -0.0005967608  -0.0015461305   0.0027765089   0.0020654824
      28    0.0002151038  -0.0004400793  -0.0006748135   0.0008899173   0.0008186819
      29   -0.0001679955  -0.0003062446  -0.0006229025   0.0004549070   0.0003526535
      30    0.0002190511  -0.0003443371  -0.0010787289   0.0012977800   0.0009976649
      31    0.0002171110  -0.0003076523  -0.0006595030   0.0008766140   0.0010133868
      32    0.0005288006  -0.0001427927  -0.0007554875   0.0012842881   0.0010332440
      33    0.0006056003   0.0001952759  -0.0012082073   0.0018138076   0.0013151374
      34    0.0016116916  -0.0005380121  -0.0015406437   0.0031523353   0.0022600369
      35    0.0004458904  -0.0000461574  -0.0007600709   0.0012059613   0.0008892618
      36    0.0008497109  -0.0006623663  -0.0008051031   0.0016548140   0.0012527107
      37    0.0006820311  -0.0006289778  -0.0012246211   0.0019066522   0.0013639366
      38    0.0008642775  -0.0004587818  -0.0015726501   0.0024369276   0.0019093926
      39    0.0006488827  -0.0002365776  -0.0016980241   0.0023469067   0.0017694820
      40    0.0002862714  -0.0008020986  -0.0012744377   0.0015607091   0.0011813161
      41    0.0001074844  -0.0005290483  -0.0011931386   0.0013006230   0.0013141779
      42    0.0003020905  -0.0002908281  -0.0009443877   0.0012464782   0.0012769183
      43    0.0004292094   0.0000429018  -0.0012756938   0.0017049032   0.0012683403
      44    0.0007200645  -0.0002597281  -0.0014485858   0.0021686503   0.0014696419
      45    0.0015523149   0.0001627736  -0.0012416309   0.0027939458   0.0019400923
      46    0.0011746144  -0.0004491729  -0.0006418972   0.0018165116   0.0014753790
      47    0.0010754735  -0.0005876746  -0.0012672498   0.0023427234   0.0016828347
      48    0.0008101628  -0.0008231657  -0.0014049687   0.0022151316   0.0016354855
      49    0.0000194099  -0.0003286675  -0.0012404829   0.0012598929   0.0011232408
      50    0.0003097915  -0.0006841662  -0.0013707188   0.0016805103   0.0013542308
      51    0.0003230751  -0.0007888478  -0.0014716638   0.0017947390   0.0013111498
      52    0.0006948727  -0.0002269064  -0.0018252117   0.0025200843   0.0018099071
      53    0.0002952104  -0.0001376523  -0.0007661741   0.0010613845   0.0010069324
      54    0.0008844874  -0.0003668501  -0.0009704975   0.0018549849   0.0015335918
      55    0.0011902498  -0.0006754925  -0.0010169796   0.0022072294   0.0017233557
      56    0.0022910832  -0.0002885590  -0.0008686803   0.0031597635   0.0023381481
      57    0.0012366273  -0.0003460005  -0.0007485767   0.0019852040   0.0014325993
      58    0.0006769539  -0.0004919891  -0.0012732959   0.0019502499   0.0013223942
      59    0.0006188785  -0.0007481712  -0.0010222667   0.0016411452   0.0012477191
      60    0.0004480335  -0.0005824517  -0.0008584630   0.0013064965   0.0011884608
      61    0.0001802999  -0.0004703428  -0.0010115813   0.0011918812   0.0013731559
      62    0.0009048401  -0.0003329088  -0.0018652790   0.0027701190   0.0019011075
      63    0.0003555384  -0.0001294498  -0.0009817539   0.0013372923   0.0009595358
      64    0.0004960451   0.0001602506  -0.0012348913   0.0017309364   0.0013532637
      65    0.0004718404   0.0002267427  -0.0010197496   0.0014915899   0.0013058093
      66    0.0011440698   0.0000425695  -0.0011901026   0.0023341724   0.0016104834
      67    0.0016434047   0.0001049363  -0.0013233168   0.0029667216   0.0020367957
      68    0.0009412729  -0.0001369389  -0.0009011850   0.0018424578   0.0012651660
      69    0.0002034968  -0.0001731486  -0.0009232542   0.0011267509   0.0011328555
      70    0.0007208044  -0.0006471721  -0.0010330916   0.0017538960   0.0012486953
      71    0.0005087810  -0.0001996255  -0.0009223312   0.0014311122   0.0009953217
      72    0.0013620689  -0.0006324771  -0.0014155348   0.0027776037   0.0020528438
      73    0.0006345199  -0.0001678453  -0.0011770652   0.0018115851   0.0017648798
      74    0.0010292325  -0.0002583500  -0.0012157363   0.0022449687   0.0015263194
      75    0.0006133968  -0.0002464667  -0.0007730379   0.0013864347   0.0010711382
      76    0.0010779487  -0.0003902930  -0.0007669412   0.0018448899   0.0013677076
      77    0.0012936292   0.0002037326  -0.0012100107   0.0025036399   0.0019806197
      78    0.0018646301  -0.0000852060  -0.0025655029   0.0044301330   0.0034115985
      79    0.0007331394   0.0003680880  -0.0015801813   0.0023133207   0.0018090470
      80    0.0009577141  -0.0003122740  -0.0009906068   0.0019483209   0.0014969537
      81    0.0006016355  -0.0003546128  -0.0008017894   0.0014034249   0.0011838022
      82    0.0011474228  -0.0001820033  -0.0016062955   0.0027537183   0.0019587246
      83    0.0009044559  -0.0002636985  -0.0014852489   0.0023897047   0.0016617007
      84    0.0006511278  -0.0005029438  -0.0012472536   0.0018983813   0.0016078820
      85    0.0002537868  -0.0004717595  -0.0009278246   0.0011816114   0.0009678359
      86    0.0006428830  -0.0005147238  -0.0009631049   0.0016059879   0.0012865933
      87    0.0014880571  -0.0002668547  -0.0012216804   0.0027097375   0.0020232176
      88    0.0025632987  -0.0000336002  -0.0019524790   0.0045157776   0.0033781694
      89    0.0021215859   0.0000368899  -0.0024530933   0.0045746792   0.0033886570
      90    0.0008983231  -0.0000716173  -0.0009465892   0.0018449123   0.0017753891
      91    0.0006418294  -0.0002856099  -0.0006232793   0.0012651087   0.0011766692
      92    0.0004459607   0.0000015735  -0.0009885012   0.0014344618   0.0010821568
      93    0.0008563771  -0.0006123702  -0.0008500015   0.0017063786   0.0015153385
      94    0.0006564362  -0.0005642066  -0.0011676483   0.0018240845   0.0013114453
      95    0.0004958352  -0.0006121299  -0.0014338167   0.0019296520   0.0013602533
      96   -0.0000758342  -0.0006299110  -0.0009343149   0.0008584807   0.0006887713
      97    0.0005531611  -0.0006020927  -0.0010758007   0.0016289618   0.0013137551
      98    0.0016323861  -0.0002908031  -0.0017445207   0.0033769068   0.0023819552
      99    0.0020094960   0.0005813232  -0.0027589396   0.0047684356   0.0035617724
     100    0.0019409183   0.0014913887  -0.0028486237   0.0047895420   0.0039666181
     101    0.0011470778   0.0004225437  -0.0009612895   0.0021083672   0.0017612993
     102    0.0005634514   0.0001710837  -0.0009692465   0.0015326980   0.0015334777
     103   -0.0000452904  -0.0003726394  -0.0007790994   0.0007338090   0.0008479463
     104    0.0006470542  -0.0002543407  -0.0012291965   0.0018762507   0.0013466022
     105    0.0004079564  -0.0004235890  -0.0006232312   0.0010311875   0.0010202657
     106    0.0009236636  -0.0003344699  -0.0016483532   0.0025720168   0.0021045068
     107    0.0005837761  -0.0004554750  -0.0011642455   0.0017480216   0.0014036777
     108    0.0013208215  -0.0004189962  -0.0014390500   0.0027598715   0.0019360838
     109    0.0018676481  -0.0006594136  -0.0012227563   0.0030904044   0.0023110783
     110    0.0029702981  -0.0008408681  -0.0019340104   0.0049043086   0.0038472537
     111    0.0032714280   0.0004861876  -0.0033779176   0.0066493456   0.0044490099
     112    0.0023970664   0.0000434229  -0.0017763376   0.0041734041   0.0028198124
     113    0.0011686983   0.0000843323  -0.0013487939   0.0025174922   0.0018232198
     114    0.0003371738  -0.0002960641  -0.0015304245   0.0018675984   0.0016954258
     115    0.0005285565   0.0001610962  -0.0016173733   0.0021459298   0.0022793394
     116    0.0006089025  -0.0000503480  -0.0007289498   0.0013378523   0.0017413128
     117    0.0012817913   0.0009324636  -0.0028177634   0.0040995547   0.0033453080
     118    0.0013456552   0.0000486855  -0.0019046205   0.0032502757   0.0025596109
     119    0.0020444429   0.0000578898  -0.0022110242   0.0042554672   0.0030853297
     120    0.0020248276  -0.0002666858  -0.0011705241   0.0031953517   0.0022065289
     121    0.0035613046  -0.0002431302  -0.0020629456   0.0056242502   0.0038236899
     122    0.0055470987   0.0010258523  -0.0030605458   0.0086076445   0.0063198173
     123    0.0031657294   0.0007934934  -0.0014591380   0.0046248675   0.0032697764
     124    0.0021491489   0.0010161023  -0.0019969272   0.0041460761   0.0032140445
     125    0.0010433887  -0.0002167334  -0.0008772427   0.0019206314   0.0017096846
     126    0.0008697246  -0.0002906584  -0.0017590662   0.0026287907   0.0018946924
     127    0.0006636544  -0.0004447050  -0.0012561201   0.0019197746   0.0017779914
     128    0.0004079111  -0.0000406956  -0.0010103420   0.0014182531   0.0014001191
     129    0.0010095417  -0.0006753799  -0.0014582191   0.0024677608   0.0020707940
     130    0.0009884433  -0.0005653244  -0.0017637734   0.0027522167   0.0020173675
     131    0.0009138163   0.0001588179  -0.0015857068   0.0024995231   0.0022328849
     132    0.0029600458  -0.0005728703  -0.0023582729   0.0053183187   0.0049878293
     133    0.0026106057   0.0007809113  -0.0009532684   0.0035638741   0.0027627855
     134    0.0016003838   0.0006019368  -0.0004186645   0.0020190483   0.0015996830
     135    0.0012074781   0.0005199794  -0.0008504164   0.0020578945   0.0015505987
     136    0.0005062246  -0.0001731079  -0.0003536600   0.0008598846   0.0009260675
     137    0.0004483941  -0.0003321124  -0.0009935555   0.0014419496   0.0014820080
     138    0.0001583796  -0.0001808233  -0.0007983727   0.0009567523   0.0011162989
     139    0.0007188910  -0.0003086378  -0.0010627081   0.0017815991   0.0013602359
     140    0.0006931828  -0.0007778632  -0.0009220102   0.0016151930   0.0014356942
     141    0.0005087589  -0.0005966446  -0.0007924006   0.0013011595   0.0013922193
     142    0.0006736072  -0.0000511682  -0.0007913472   0.0014649544   0.0018946469
     143    0.0014107535   0.0003970758  -0.0016467340   0.0030574876   0.0024703405
     144    0.0015392636  -0.0002129531  -0.0009115516   0.0024508153   0.0020161012
     145    0.0010758853  -0.0000558638  -0.0007012547   0.0017771400   0.0013800712
