
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     17:59:09  JUL 26, 2019 CP=      0.606

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ  
       1   -0.0001220907   0.0060308885  -0.0028279289   0.0053850037   0.0034131965  -0.0020459418
       2   -0.0000364278   0.0020969015   0.0002661872   0.0020809687  -0.0003708949   0.0010090498
       3   -0.0019290886   0.0004829272   0.0024798765   0.0029117098   0.0008258784   0.0004435646
       4   -0.0014678615   0.0003820650   0.0005823885   0.0010442852   0.0021691925  -0.0014478703
       5   -0.0014489004  -0.0006307076   0.0003543460  -0.0016536318   0.0005595081   0.0001646897
       6   -0.0002540024  -0.0003242615  -0.0010448173  -0.0002644457   0.0016632497  -0.0008896530
       7   -0.0006569060   0.0002329128  -0.0004671514  -0.0008701390  -0.0006309322  -0.0007917624
       8   -0.0005160827   0.0000235290  -0.0002606328  -0.0006436542   0.0012968980   0.0002624296
       9    0.0002206084   0.0005640806  -0.0016576230  -0.0012085428   0.0000978736  -0.0021137984
      10    0.0008070968   0.0015392505  -0.0021948361   0.0000710660  -0.0006369498   0.0003530110
      11   -0.0015569685   0.0025202628   0.0000640801  -0.0035409475  -0.0063001633   0.0001301220
      12    0.0009741851   0.0003599621   0.0010954562   0.0055466738   0.0008798371   0.0016701771
      13    0.0004452518   0.0009820999   0.0003712686   0.0022377530   0.0022102338   0.0003324285
      14   -0.0012193335   0.0014143518   0.0006111076   0.0010945783   0.0004404644   0.0005224065
      15   -0.0009906683  -0.0001327717   0.0007165963   0.0004172191   0.0005528244   0.0002196242
