Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
       1    0.0068848904   0.0000792839  -0.0034671463   0.0103520367   0.0070092523
       2    0.0037643962   0.0004352329  -0.0015722194   0.0053366156   0.0035912722
       3    0.0018429105   0.0015912550  -0.0023613375   0.0042042481   0.0031417225
       4    0.0011495347   0.0001301846  -0.0022176002   0.0033671349   0.0023005509
       5    0.0003648213  -0.0012023210  -0.0019814951   0.0023463165   0.0015921635
       6    0.0001473068  -0.0011265740  -0.0017578014   0.0019051082   0.0012929780
       7    0.0002612075  -0.0005285937  -0.0009825147   0.0012437223   0.0008385454
       8    0.0008652635  -0.0003660291  -0.0007402847   0.0016055482   0.0011192154
       9    0.0003600333  -0.0002732802  -0.0009727062   0.0013327395   0.0008881996
      10    0.0010999720   0.0001513643  -0.0006703008   0.0017702728   0.0011803189
      11    0.0034562007   0.0013134011   0.0000233939   0.0034328068   0.0023102467
      12    0.0033412645   0.0004963485  -0.0006438886   0.0039851531   0.0027345658
      13    0.0023403293   0.0004387586  -0.0007310004   0.0030713297   0.0020653075
      14    0.0014330361   0.0004586502  -0.0012662838   0.0026993199   0.0018212384
      15    0.0006411767  -0.0001112367  -0.0012161026   0.0018572793   0.0012446740
      16    0.0001777413  -0.0008940053  -0.0012399802   0.0014177215   0.0009848368
      17   -0.0000494132  -0.0006329254  -0.0009913635   0.0009419503   0.0006334453
      18    0.0002290585  -0.0003582924  -0.0007149566   0.0009440151   0.0006351059
      19    0.0003422982  -0.0000741112  -0.0006276938   0.0009699919   0.0006483330
      20    0.0004499514   0.0000157273  -0.0006697566   0.0011197079   0.0007521536
      21    0.0007946605   0.0003322124  -0.0002498747   0.0010445352   0.0006973614
      22    0.0009437997   0.0008318007  -0.0004156045   0.0013594042   0.0010053913
      23    0.0014230771   0.0003245968  -0.0006883243   0.0021114014   0.0014069443
      24    0.0010804698  -0.0000126986  -0.0007859891   0.0018664589   0.0012494572
      25    0.0008112802  -0.0000648155  -0.0008432722   0.0016545524   0.0011028583
      26    0.0005923524  -0.0002831803  -0.0012662627   0.0018586151   0.0012388507
      27    0.0004976502  -0.0003816104  -0.0012012942   0.0016989444   0.0011320235
      28    0.0002778878  -0.0004940899  -0.0008907248   0.0011686126   0.0007917706
      29   -0.0000565567  -0.0002899467  -0.0007013721   0.0006448154   0.0004349824
      30   -0.0000355792  -0.0002224030  -0.0008705668   0.0008349875   0.0005838617
      31    0.0000993351  -0.0000448471  -0.0008064105   0.0009057456   0.0006484260
      32    0.0000628670  -0.0001284410  -0.0005266910   0.0005895580   0.0004007317
      33    0.0006986364  -0.0002379651  -0.0008084867   0.0015071231   0.0010138300
      34    0.0006258357  -0.0005786910  -0.0010546654   0.0016805011   0.0011540410
      35    0.0006357512  -0.0002566653  -0.0008428943   0.0014786455   0.0009920489
      36    0.0007398181  -0.0004949728  -0.0009428289   0.0016826470   0.0011610779
      37    0.0006126813  -0.0005619594  -0.0013327876   0.0019454688   0.0013052926
      38    0.0003606180  -0.0003006056  -0.0011905706   0.0015511886   0.0010370989
      39    0.0000146126  -0.0001866297  -0.0010365893   0.0010512019   0.0007434040
      40   -0.0002077640  -0.0007260643  -0.0009396065   0.0007318425   0.0005014266
      41   -0.0002676503  -0.0008540131  -0.0009730646   0.0007054144   0.0005031275
      42   -0.0001186856  -0.0003475205  -0.0007015555   0.0005828699   0.0003912669
      43    0.0004351655  -0.0002906894  -0.0007370739   0.0011722394   0.0007882776
      44    0.0007443628  -0.0005887878  -0.0011622939   0.0019066567   0.0013033343
      45    0.0015291680  -0.0000525596  -0.0005597663   0.0020889343   0.0014516637
      46    0.0009822285  -0.0001115407  -0.0005812696   0.0015634981   0.0010688575
      47    0.0007727784  -0.0005697072  -0.0010633155   0.0018360939   0.0012659816
      48    0.0003216894  -0.0007214110  -0.0009155535   0.0012372429   0.0008865397
      49   -0.0000866006  -0.0005248217  -0.0009018836   0.0008152830   0.0005436290
      50    0.0000981822  -0.0006848748  -0.0011933414   0.0012915236   0.0008668363
      51   -0.0002292055  -0.0007431048  -0.0012271806   0.0009979751   0.0006649234
      52   -0.0002395164  -0.0002488788  -0.0011271065   0.0008875901   0.0006791893
      53    0.0002718981  -0.0001673780  -0.0008388907   0.0011107887   0.0007453494
      54    0.0005526803  -0.0003394919  -0.0006035687   0.0011562490   0.0008072562
      55    0.0011468751  -0.0006537456  -0.0010928557   0.0022397309   0.0015812742
      56    0.0022308210   0.0005072434  -0.0000097286   0.0022405496   0.0015630764
      57    0.0012168634  -0.0002929278  -0.0006190349   0.0018358984   0.0013050129
      58    0.0005387878  -0.0006456263  -0.0010542300   0.0015930178   0.0011023777
      59    0.0000384666  -0.0006351692  -0.0007258657   0.0007643323   0.0005563551
      60   -0.0001173679  -0.0002555738  -0.0006813678   0.0005639999   0.0003916651
      61    0.0001063590  -0.0002563928  -0.0009283808   0.0010347398   0.0006995018
      62    0.0000749041  -0.0002493797  -0.0012238157   0.0012987198   0.0009005847
      63    0.0001809332  -0.0000396673  -0.0010839822   0.0012649153   0.0009002414
