Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
       1    0.0005865252   0.0057969661  -0.0028864634   0.0034196147   0.0046181902   0.0011294984
       2   -0.0003621544   0.0023887340   0.0006008301   0.0043743593   0.0013326759   0.0005970854
       3   -0.0016047248   0.0008738188   0.0018037340   0.0031129943   0.0002934925  -0.0002178691
       4   -0.0021062445   0.0003236801   0.0008446835   0.0004000478   0.0009241861  -0.0009945098
       5   -0.0018088788  -0.0008371090  -0.0001730070  -0.0005152536   0.0012360740  -0.0011005321
       6   -0.0015325219  -0.0005821200  -0.0006224268  -0.0009947037   0.0010740628  -0.0006845563
       7   -0.0008838507   0.0000965489  -0.0004625992  -0.0005460480   0.0004436677  -0.0003491689
       8   -0.0006428673   0.0006708297  -0.0002690126  -0.0005646595   0.0007187724  -0.0003931510
       9   -0.0001643669   0.0000824762  -0.0008040624  -0.0007630161  -0.0003550224  -0.0004816868
      10    0.0001751384   0.0005682521  -0.0001623550  -0.0004909888  -0.0015372911  -0.0000092355
      11    0.0000347693   0.0024959094   0.0022623170  -0.0003289375  -0.0021206503   0.0001967912
      12    0.0014677969   0.0021783387  -0.0004524113   0.0026044021   0.0010679548   0.0012320883
      13    0.0003033358   0.0011748178   0.0005699338   0.0027266642   0.0006278977   0.0009924730
      14   -0.0009583095   0.0008363997   0.0007473122   0.0015875048   0.0007552859   0.0005398442
      15   -0.0011829748   0.0001511066   0.0003457056  -0.0001798018   0.0007531040   0.0003488976
      16   -0.0011378176  -0.0007342772  -0.0000841494  -0.0002209205   0.0009709582   0.0002519226
      17   -0.0009646501  -0.0004491402  -0.0002599118  -0.0001627292   0.0005799556   0.0000958365
      18   -0.0006679452  -0.0000956432  -0.0000806021  -0.0003284049   0.0005892282  -0.0000733388
      19   -0.0004145283   0.0001787514  -0.0001237299  -0.0005334727   0.0001293219  -0.0005420452
      20    0.0000807899   0.0000565011  -0.0003413690  -0.0007532772  -0.0004189845  -0.0005541443
      21    0.0002568949   0.0004017666   0.0002183367  -0.0006298678  -0.0007920567  -0.0001852667
      22    0.0007375460   0.0005085789   0.0001138709  -0.0004663349  -0.0011771952  -0.0005256534
      23    0.0007128892   0.0000548157   0.0002916446   0.0014523156  -0.0002783440   0.0013525395
      24   -0.0002126882   0.0003070527   0.0001874176   0.0014418463   0.0005144488   0.0009369342
      25   -0.0006328229   0.0003801712   0.0001558443   0.0007282642   0.0006556208   0.0008051066
      26   -0.0009733147  -0.0000756286   0.0000918526  -0.0001080528   0.0009294155   0.0011271658
