        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
           1        0.500        0.500       -9.500  -0.00766014  -0.11303115  -0.05332723
           2        0.500       20.500       -9.500   0.00056698  -0.00024374  -0.06413111
           3        0.500       40.500       -9.500   0.08892433   0.01519757  -0.06581825
           4        0.500       60.500       -9.500   0.09043129   0.01922707  -0.02578107
           5        0.500       80.500       -9.500   0.08212760   0.03062919  -0.00684439
           6        0.500      100.500       -9.500   0.06112664   0.00304101   0.04720177
           7        0.500      120.500       -9.500   0.05672992   0.00871534   0.04838230
           8        0.500      140.500       -9.500   0.04049838   0.00748948   0.05104339
           9        0.500      160.500       -9.500   0.03311854   0.01715357   0.07289675
          10        0.500      180.500       -9.500   0.00301409   0.00698058   0.05055998
          11        0.500      200.500       -9.500   0.01693116   0.09472586   0.03412133
          12       20.500        0.500       -9.500  -0.01793232  -0.01355820  -0.06712555
          13       20.500       20.500       -9.500   0.02201475  -0.00691661  -0.04768971
          14       20.500       40.500       -9.500   0.05041942   0.02849961  -0.03094367
          15       20.500       60.500       -9.500   0.06114858   0.04351114  -0.01398862
          16       20.500       80.500       -9.500   0.05767071   0.01220888   0.00864321
          17       20.500      100.500       -9.500   0.05157490   0.01045094   0.01714474
          18       20.500      120.500       -9.500   0.04115778   0.00162669   0.03967758
          19       20.500      140.500       -9.500   0.03392527   0.00642209   0.05024120
          20       20.500      160.500       -9.500   0.02599464   0.01172486   0.04412888
          21       20.500      180.500       -9.500   0.02715716   0.01649558   0.03087930
          22       20.500      200.500       -9.500   0.02313181   0.00998984   0.04964906
          23       40.500        0.500       -9.500   0.03019197   0.02894166  -0.04864881
          24       40.500       20.500       -9.500   0.02115086   0.02091463  -0.03048910
          25       40.500       40.500       -9.500   0.03400467   0.01984688  -0.01813904
          26       40.500       60.500       -9.500   0.03982470   0.02866454   0.00603712
          27       40.500       80.500       -9.500   0.03212264   0.02819755   0.01752251
          28       40.500      100.500       -9.500   0.04466279   0.01257128   0.03371854
          29       40.500      120.500       -9.500   0.03447002   0.00814946   0.03652345
          30       40.500      140.500       -9.500   0.02656958   0.00620692   0.03613077
          31       40.500      160.500       -9.500   0.02643308  -0.01147105   0.03300019
          32       40.500      180.500       -9.500   0.02702912  -0.00700616   0.04008623
          33       40.500      200.500       -9.500   0.04087318   0.00166327   0.02954499
          34       60.500        0.500       -9.500   0.00261298   0.02823500  -0.02925509
          35       60.500       20.500       -9.500   0.01609274   0.03545012  -0.02482940
          36       60.500       40.500       -9.500   0.02382066   0.03415885  -0.00332559
          37       60.500       60.500       -9.500   0.02286160   0.03446319   0.03188071
          38       60.500       80.500       -9.500   0.02585814   0.01611667   0.05386458
          39       60.500      100.500       -9.500   0.02455827   0.03132036   0.05111082
          40       60.500      120.500       -9.500   0.02448452   0.01394010   0.04408366
          41       60.500      140.500       -9.500   0.00989758  -0.01593345   0.02912684
          42       60.500      160.500       -9.500  -0.00523277  -0.01496576   0.03197585
          43       60.500      180.500       -9.500   0.02202232  -0.01969807   0.02414348
          44       60.500      200.500       -9.500   0.04399552  -0.01666219   0.02230854
          45       80.500        0.500       -9.500  -0.00554520   0.05313202  -0.04007133
          46       80.500       20.500       -9.500   0.01328551   0.03861457  -0.01575988
          47       80.500       40.500       -9.500   0.00886175   0.04733785   0.01659203
          48       80.500       60.500       -9.500   0.00599386   0.03642071   0.05601042
          49       80.500       80.500       -9.500   0.00619689   0.03820466   0.07909279
          50       80.500      100.500       -9.500   0.00975805   0.02361109   0.08122163
          51       80.500      120.500       -9.500  -0.00618123   0.01854384   0.05735275
          52       80.500      140.500       -9.500  -0.00252721   0.00846200   0.03705597
          53       80.500      160.500       -9.500  -0.00093344  -0.01479262   0.02039188
          54       80.500      180.500       -9.500   0.00891532  -0.00441998   0.01238642
          55       80.500      200.500       -9.500   0.02673062  -0.02362378  -0.01167445
          56      100.500        0.500       -9.500  -0.00397718   0.04212761  -0.04725015
          57      100.500       20.500       -9.500  -0.00062620   0.04388453  -0.00190219
          58      100.500       40.500       -9.500  -0.01020378   0.04577038   0.02559538
          59      100.500       60.500       -9.500  -0.01315226   0.04583632   0.05230242
          60      100.500       80.500       -9.500  -0.01533151   0.04780627   0.06963468
          61      100.500      100.500       -9.500  -0.01370041   0.03679741   0.08593195
          62      100.500      120.500       -9.500  -0.01555746   0.01880247   0.05698080
          63      100.500      140.500       -9.500  -0.00648671   0.00022750   0.03752975
          64      100.500      160.500       -9.500  -0.00371060  -0.00277842   0.02272897
          65      100.500      180.500       -9.500   0.00231202  -0.02623022   0.00888639
          66      100.500      200.500       -9.500   0.03369814  -0.03564720  -0.00561603
          67      120.500        0.500       -9.500   0.01579651   0.05344146  -0.02866728
          68      120.500       20.500       -9.500  -0.00709437   0.05023680   0.00186367
          69      120.500       40.500       -9.500  -0.03326889   0.05019714   0.02835963
          70      120.500       60.500       -9.500  -0.02492950   0.03194509   0.04602162
          71      120.500       80.500       -9.500  -0.01268380   0.02478454   0.05855094
          72      120.500      100.500       -9.500  -0.00210800   0.02762838   0.06505865
          73      120.500      120.500       -9.500  -0.01344245   0.00253775   0.06799095
          74      120.500      140.500       -9.500  -0.00424952  -0.00152969   0.03077952
          75      120.500      160.500       -9.500   0.00728403  -0.00763869   0.01249598
          76      120.500      180.500       -9.500   0.01935519  -0.02008875   0.01081491
          77      120.500      200.500       -9.500   0.01947066  -0.03327856  -0.00058598
          78      140.500        0.500       -9.500   0.01886242   0.07815394   0.00877572
          79      140.500       20.500       -9.500  -0.00912784   0.04016915   0.01267238
          80      140.500       40.500       -9.500  -0.03424896   0.03641654   0.03607737
          81      140.500       60.500       -9.500  -0.03515423   0.01584646   0.03407799
          82      140.500       80.500       -9.500  -0.00727190   0.00801334   0.03663206
          83      140.500      100.500       -9.500  -0.00830518  -0.00107279   0.02774131
          84      140.500      120.500       -9.500  -0.00718982   0.00510975   0.01920157
          85      140.500      140.500       -9.500  -0.00718603  -0.01363557   0.01812981
          86      140.500      160.500       -9.500  -0.00055257  -0.01440016   0.02004150
          87      140.500      180.500       -9.500   0.02490092  -0.00566693  -0.00083544
          88      140.500      200.500       -9.500   0.04096188   0.02856957   0.00011377
          89      160.500        0.500       -9.500  -0.00036011   0.01476079  -0.00610033
          90      160.500       20.500       -9.500  -0.02272511   0.03238380   0.02893864
          91      160.500       40.500       -9.500  -0.01453675   0.01599055   0.02833709
          92      160.500       60.500       -9.500  -0.02373997   0.01307102   0.01903801
          93      160.500       80.500       -9.500  -0.02267115  -0.00391681  -0.00215091
          94      160.500      100.500       -9.500  -0.02094493  -0.00549306   0.00381241
          95      160.500      120.500       -9.500  -0.02252513  -0.01093447   0.01632690
          96      160.500      140.500       -9.500  -0.02757779  -0.01698805   0.02001601
          97      160.500      160.500       -9.500  -0.02472600  -0.02573804   0.00238775
          98      160.500      180.500       -9.500   0.00095418  -0.00482194  -0.02079422
          99      160.500      200.500       -9.500   0.05706977   0.00098500  -0.02652889
         100      180.500        0.500       -9.500  -0.00630562  -0.01778266   0.06630385
         101      180.500       20.500       -9.500   0.00698955   0.01826731   0.02391213
         102      180.500       40.500       -9.500  -0.01267201   0.03565761   0.01938418
         103      180.500       60.500       -9.500  -0.02310194   0.00348766   0.01722667
         104      180.500       80.500       -9.500  -0.02940403  -0.00272816   0.00557954
         105      180.500      100.500       -9.500  -0.04291124  -0.01956588   0.00106155
         106      180.500      120.500       -9.500  -0.06025046  -0.02208355   0.00789775
         107      180.500      140.500       -9.500  -0.04879526  -0.01346638   0.02378234
         108      180.500      160.500       -9.500  -0.03933028  -0.00969763  -0.00115064
         109      180.500      180.500       -9.500  -0.01163597   0.01655812  -0.02949094
         110      180.500      200.500       -9.500  -0.01357232   0.04971686  -0.05943219
         111      200.500        0.500       -9.500   0.05903472   0.01003761   0.09777291
         112      200.500       20.500       -9.500   0.01742335   0.01143525   0.04932948
         113      200.500       40.500       -9.500   0.00057676   0.02320176   0.02055686
         114      200.500       60.500       -9.500  -0.03556900   0.02089587   0.02570961
         115      200.500       80.500       -9.500  -0.04004624  -0.03722736   0.01740909
         116      200.500      100.500       -9.500  -0.04056580  -0.00682719  -0.01106031
         117      200.500      120.500       -9.500  -0.06063349  -0.00636667   0.04145150
         118      200.500      140.500       -9.500  -0.07709716  -0.01421135   0.00612788
         119      200.500      160.500       -9.500  -0.04582691   0.02371506   0.01814338
         120      200.500      180.500       -9.500  -0.03492732   0.01589950  -0.01853139
         121      200.500      200.500       -9.500  -0.02882492   0.00840822  -0.07401426
         122        0.500        0.500       10.500  -0.03478066  -0.03396334  -0.11771617
         123        0.500       20.500       10.500   0.00430658  -0.00141613  -0.03663103
         124        0.500       40.500       10.500   0.06292104   0.01254012  -0.01614386
         125        0.500       60.500       10.500   0.04968144   0.03312398  -0.01405879
         126        0.500       80.500       10.500   0.06993380   0.00532793   0.00476366
         127        0.500      100.500       10.500   0.07339061   0.00869266   0.02183373
         128        0.500      120.500       10.500   0.04959940  -0.00582412   0.03660525
         129        0.500      140.500       10.500   0.04654916   0.02117022   0.04957927
         130        0.500      160.500       10.500   0.01961044   0.01935275   0.02820823
         131        0.500      180.500       10.500   0.02975499   0.01362929   0.01466439
         132        0.500      200.500       10.500   0.00400587  -0.01483876   0.07274295
         133       20.500        0.500       10.500   0.01313201  -0.01539730  -0.04577408
         134       20.500       20.500       10.500   0.01184232   0.01919713  -0.03887743
         135       20.500       40.500       10.500   0.03702794   0.02045835  -0.02179468
         136       20.500       60.500       10.500   0.04963196   0.03477419  -0.00514662
         137       20.500       80.500       10.500   0.04281511   0.02000716  -0.00030162
         138       20.500      100.500       10.500   0.04627414  -0.00227693   0.02046036
         139       20.500      120.500       10.500   0.04797883   0.01063280   0.02833038
         140       20.500      140.500       10.500   0.02833303   0.01921023   0.03888165
         141       20.500      160.500       10.500   0.03059042   0.00234299   0.04457082
         142       20.500      180.500       10.500   0.01437974   0.00766100   0.04625711
         143       20.500      200.500       10.500   0.02373113   0.01622949   0.01770147
         144       40.500        0.500       10.500   0.02641541   0.00499595  -0.05097022
         145       40.500       20.500       10.500   0.02582530   0.01882160  -0.03762581
         146       40.500       40.500       10.500   0.03978986   0.02421851  -0.00841066
         147       40.500       60.500       10.500   0.04325750   0.03204801   0.00523448
         148       40.500       80.500       10.500   0.05474354   0.02494194   0.03220352
         149       40.500      100.500       10.500   0.03799406   0.01168024   0.02506875
         150       40.500      120.500       10.500   0.03671427   0.01038481   0.03468306
         151       40.500      140.500       10.500   0.03347566  -0.01159026   0.03108811
         152       40.500      160.500       10.500   0.03461376  -0.00663068   0.01954906
         153       40.500      180.500       10.500   0.03501216  -0.00060891   0.02443594
         154       40.500      200.500       10.500   0.04010909  -0.01506219   0.01988087
         155       60.500        0.500       10.500   0.03933346   0.05820451  -0.03327742
         156       60.500       20.500       10.500   0.01624946   0.02864158  -0.01818149
         157       60.500       40.500       10.500   0.01902406   0.03281040  -0.01360599
         158       60.500       60.500       10.500   0.02491616   0.02900657   0.03018568
         159       60.500       80.500       10.500   0.03459711   0.03155754   0.05112379
         160       60.500      100.500       10.500   0.04103567   0.02705366   0.05564429
         161       60.500      120.500       10.500   0.02924106   0.00087880   0.03437778
         162       60.500      140.500       10.500   0.01149107  -0.01473785   0.03320775
         163       60.500      160.500       10.500   0.01437564  -0.02897720   0.02743118
         164       60.500      180.500       10.500   0.01484010  -0.00501034   0.01983074
         165       60.500      200.500       10.500   0.02510564  -0.01761728   0.03015918
         166       80.500        0.500       10.500   0.00291523   0.02163902  -0.00762343
         167       80.500       20.500       10.500   0.01441948   0.04191365  -0.00706673
         168       80.500       40.500       10.500   0.01469427   0.05164640   0.01294775
         169       80.500       60.500       10.500   0.00522354   0.04784848   0.04476113
         170       80.500       80.500       10.500   0.00992203   0.02528602   0.07007723
         171       80.500      100.500       10.500   0.01784522   0.01980531   0.07830751
         172       80.500      120.500       10.500   0.01044218   0.01654974   0.04847552
         173       80.500      140.500       10.500   0.00715822  -0.01970481   0.03050691
         174       80.500      160.500       10.500   0.00128213  -0.01726401   0.02297661
         175       80.500      180.500       10.500   0.01158344  -0.02390717   0.00714676
         176       80.500      200.500       10.500   0.00225319  -0.01892282  -0.01362968
         177      100.500        0.500       10.500   0.00612418   0.02711774   0.00844725
         178      100.500       20.500       10.500  -0.00362857   0.04671193  -0.00087527
         179      100.500       40.500       10.500  -0.00057507   0.04669987   0.01764135
         180      100.500       60.500       10.500  -0.00559624   0.05432032   0.04700680
         181      100.500       80.500       10.500  -0.00856562   0.04638465   0.08074712
         182      100.500      100.500       10.500  -0.01134935   0.02761243   0.08854077
         183      100.500      120.500       10.500  -0.02294634  -0.00672501   0.06267472
