
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     19:04:02  APR 14, 2019 CP=      1.147

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
       1    0.0006142249  -0.0000481869  -0.0008018275   0.0014160523   0.0009439887
       2    0.0003402162   0.0000586492  -0.0006723700   0.0010125861   0.0007842796
       3    0.0006578001   0.0000859824  -0.0007266326   0.0013844327   0.0009665814
       4    0.0014523280  -0.0001914084  -0.0007996622   0.0022519902   0.0017796874
       5    0.0014076976   0.0002689843  -0.0012608927   0.0026685903   0.0018401910
       6    0.0008805980   0.0006044355  -0.0014527012   0.0023332992   0.0017761011
       7    0.0005747975  -0.0004833554  -0.0005804535   0.0011552509   0.0009814304
       8    0.0013061070  -0.0007461468  -0.0011381684   0.0024442755   0.0018383888
       9    0.0010981032   0.0004531978  -0.0013801572   0.0024782604   0.0018646959
      10    0.0013078307   0.0003003877  -0.0007741618   0.0020819926   0.0014547392
      11    0.0015572472  -0.0002307517  -0.0004700996   0.0020273468   0.0014877162
      12    0.0011142614   0.0001876384  -0.0006247146   0.0017389760   0.0011971435
      13    0.0010845145   0.0000722990  -0.0005577220   0.0016422365   0.0011038458
      14    0.0009305936  -0.0000669667  -0.0008751743   0.0018057679   0.0012283453
      15    0.0006952368  -0.0002292302  -0.0005173750   0.0012126118   0.0010749075
      16    0.0005388622   0.0003007856  -0.0006356148   0.0011744771   0.0009172073
      17    0.0012986482  -0.0000383101  -0.0006225109   0.0019211590   0.0014648925
      18    0.0012416308   0.0003950627  -0.0010113409   0.0022529718   0.0016379361
      19    0.0004770591   0.0003252017  -0.0007119729   0.0011890320   0.0010418733
      20    0.0009957104  -0.0005665243  -0.0009087038   0.0019044143   0.0015811133
      21    0.0004684240  -0.0002651820  -0.0007559974   0.0012244214   0.0011192207
      22    0.0007158149   0.0004844512  -0.0011331225   0.0018489375   0.0015801815
      23    0.0011411890   0.0005425281  -0.0008950818   0.0020362708   0.0014548562
      24    0.0013498133   0.0000837960  -0.0005207918   0.0018706051   0.0012912747
      25    0.0009303118   0.0001149079  -0.0004553980   0.0013857098   0.0010422722
      26    0.0006637156  -0.0000869570  -0.0002199725   0.0008836881   0.0007717007
      27    0.0003819758   0.0000842004  -0.0002661412   0.0006481169   0.0004532616
      28    0.0008141552   0.0001038336  -0.0006149393   0.0014290945   0.0009710524
      29    0.0008159505   0.0003857265  -0.0006152850   0.0014312355   0.0010352575
      30    0.0008173932   0.0005294971  -0.0004733816   0.0012907748   0.0012707342
      31    0.0016431023   0.0000250240  -0.0008330864   0.0024761887   0.0017750404
      32    0.0009312084  -0.0003130679  -0.0005409358   0.0014721441   0.0014101037
      33    0.0008374928   0.0002870032  -0.0014625233   0.0023000161   0.0019209790
      34    0.0019396203  -0.0007003080  -0.0012995573   0.0032391776   0.0025865915
      35    0.0009772595  -0.0001135490  -0.0006020823   0.0015793418   0.0014699884
      36    0.0015522232   0.0000751576  -0.0008450905   0.0023973137   0.0016389695
      37    0.0015522251   0.0000067424  -0.0005348269   0.0020870520   0.0014999997
      38    0.0008844896  -0.0000916916  -0.0002364169   0.0011209065   0.0008391100
      39    0.0007331371  -0.0000294199  -0.0005777202   0.0013108573   0.0008974567
      40    0.0007831108   0.0003427487  -0.0006372633   0.0014203741   0.0010603487
      41    0.0009238400   0.0001592304  -0.0003889574   0.0013127974   0.0009985628
      42    0.0009370762   0.0004622231  -0.0004438106   0.0013808868   0.0010488021
      43    0.0012632182   0.0004856291  -0.0006314367   0.0018946548   0.0012955129
      44    0.0016276955   0.0001799616  -0.0006385590   0.0022662546   0.0016224621
      45    0.0009279474   0.0006511764  -0.0009305041   0.0018584515   0.0016227846
      46    0.0007653836   0.0001827672  -0.0006178022   0.0013831858   0.0010673020
      47    0.0011293015   0.0002284865  -0.0006136622   0.0017429637   0.0015247816
      48    0.0014489630   0.0007514561  -0.0012480285   0.0026969915   0.0019764484
      49    0.0017261352  -0.0000196634  -0.0007439024   0.0024700376   0.0018919414
      50    0.0017713824   0.0002776884  -0.0010082395   0.0027796219   0.0019694104
      51    0.0007037400   0.0001473165  -0.0002749269   0.0009786669   0.0007287993
      52    0.0005612075  -0.0000669485  -0.0003932338   0.0009544414   0.0006775001
      53    0.0011057376   0.0005149182  -0.0003786857   0.0014844233   0.0011022681
      54    0.0015387164   0.0005085368  -0.0006735266   0.0022122429   0.0016848982
      55    0.0017247702  -0.0000434613  -0.0001733558   0.0018981260   0.0014556904
      56    0.0018868752   0.0002370003  -0.0004361919   0.0023230672   0.0017017681
      57    0.0017490666   0.0003892810  -0.0003426290   0.0020916956   0.0015221911
      58    0.0014573811   0.0004957173  -0.0004663691   0.0019237502   0.0014513214
      59    0.0010149727   0.0001814096  -0.0001853958   0.0012003686   0.0009215368
      60    0.0009548111   0.0003161118  -0.0003305959   0.0012854070   0.0008903740
      61    0.0012868244   0.0002534060  -0.0006750140   0.0019618384   0.0016609325
      62    0.0014320296  -0.0001732967  -0.0006606079   0.0020926375   0.0016998288
      63    0.0014880117  -0.0002651842  -0.0006064863   0.0020944980   0.0017177043
      64    0.0009887217   0.0003661019  -0.0010317895   0.0020205112   0.0016235490
      65    0.0006016049   0.0000876151  -0.0007043706   0.0013059756   0.0009475825
      66    0.0019917726   0.0000402169  -0.0005875838   0.0025793565   0.0019393486
      67    0.0011429078   0.0004761804   0.0000228936   0.0011200142   0.0009974270
      68    0.0017974434   0.0003325914  -0.0001538654   0.0019513088   0.0014061148
      69    0.0019480985   0.0003035124  -0.0002038224   0.0021519209   0.0015952208
      70    0.0017014149   0.0003085593  -0.0003600094   0.0020614242   0.0014220146
      71    0.0010327407   0.0001140037  -0.0000681170   0.0011008577   0.0010562777
      72    0.0004939850   0.0001738122   0.0000014382   0.0004925468   0.0004870440
      73    0.0004098164   0.0002136459  -0.0002199380   0.0006297544   0.0007412856
      74    0.0004686688   0.0001349872  -0.0007269098   0.0011955786   0.0011570332
      75    0.0005722083   0.0000277719  -0.0009397785   0.0015119869   0.0011219168
      76    0.0007604626   0.0002565962  -0.0010017395   0.0017622021   0.0014955595
      77    0.0006501628  -0.0000143173  -0.0006795148   0.0013296776   0.0010168230
      78    0.0006598085   0.0000013231  -0.0009034987   0.0015633071   0.0010899913
      79    0.0009449973   0.0000276974  -0.0004131272   0.0013581245   0.0011116547
      80    0.0006743714   0.0002353362  -0.0001336918   0.0008080632   0.0007314477
      81    0.0010259839   0.0005144782  -0.0003069151   0.0013328990   0.0011519846
      82    0.0010723370   0.0004938976  -0.0004431416   0.0015154786   0.0014676570
      83    0.0011537369   0.0001979639  -0.0008956090   0.0020493459   0.0017767492
      84    0.0003690698  -0.0000651573  -0.0004935007   0.0008625705   0.0009314606
      85    0.0005537235  -0.0003704990  -0.0007294228   0.0012831463   0.0009636328
      86    0.0007196065  -0.0001526303  -0.0010426071   0.0017622137   0.0012302047
      87    0.0004662164  -0.0003611547  -0.0008113859   0.0012776023   0.0010244820
      88    0.0001619497  -0.0002663387  -0.0004992784   0.0006612282   0.0006064496
      89    0.0009600326  -0.0001962971  -0.0006407537   0.0016007863   0.0013360057
      90    0.0010060079  -0.0000195114  -0.0008001892   0.0018061972   0.0013317632
      91    0.0008443304  -0.0003138383  -0.0005771965   0.0014215270   0.0011263808
      92    0.0008283223  -0.0002400103  -0.0009876198   0.0018159421   0.0013047666
      93    0.0004285749   0.0002667740  -0.0009588523   0.0013874272   0.0012760523
      94    0.0006055806   0.0002321379  -0.0009041519   0.0015097325   0.0012254683
      95    0.0017406442  -0.0007551176  -0.0010103588   0.0027510030   0.0020425845
      96    0.0009641683   0.0005891596  -0.0017161386   0.0026803068   0.0020978769
      97    0.0010310125  -0.0004188590  -0.0014476296   0.0024786421   0.0016710303
      98    0.0002833862  -0.0004118248  -0.0012747995   0.0015581856   0.0013167141
      99    0.0005560810  -0.0001617097  -0.0015021633   0.0020582443   0.0015680854
     100    0.0006526578  -0.0003689970  -0.0007776151   0.0014302729   0.0010242242
     101    0.0003596875   0.0001204997  -0.0002285745   0.0005882621   0.0008331017
     102    0.0007835623   0.0001251006  -0.0000578233   0.0008413855   0.0007230450
     103    0.0004437742   0.0002626591   0.0001469926   0.0002967816   0.0008093869
     104    0.0008574637   0.0004566553  -0.0006167482   0.0014742118   0.0011297140
     105    0.0004745416  -0.0003340296  -0.0007961564   0.0012706980   0.0010544718
     106    0.0011009394  -0.0003903583  -0.0012645836   0.0023655230   0.0019344620
     107    0.0008428345   0.0000737559  -0.0012785445   0.0021213791   0.0016285471
     108    0.0014476502  -0.0000052547  -0.0014247969   0.0028724470   0.0019720964
     109    0.0014688506   0.0002207660  -0.0015865990   0.0030554496   0.0020750508
     110    0.0004865479  -0.0002096570  -0.0008448086   0.0013313565   0.0014218345
     111    0.0003479480   0.0000056000  -0.0014777081   0.0018256561   0.0015253051
     112    0.0010039815  -0.0006396530  -0.0014321164   0.0024360979   0.0019074451
     113    0.0015287530  -0.0001319730  -0.0014566428   0.0029853958   0.0024813695
     114    0.0016102715   0.0005073121  -0.0007832070   0.0023934785   0.0021835545
     115    0.0011545922   0.0008080970  -0.0003458455   0.0015004377   0.0011633350
     116    0.0011979890   0.0005873326  -0.0005658685   0.0017638576   0.0012920960
     117    0.0011122983   0.0002429255  -0.0002839074   0.0013962057   0.0010535523
     118    0.0010549418  -0.0001151477  -0.0007333517   0.0017882935   0.0015880835
     119    0.0004076979   0.0000808347  -0.0005463841   0.0009540819   0.0010555644
     120    0.0008391679  -0.0000335947  -0.0009169960   0.0017561639   0.0013495320
     121    0.0010150380  -0.0000344573  -0.0007696818   0.0017847198   0.0012305364
     122    0.0006739953   0.0002247047  -0.0007737246   0.0014477199   0.0013893099
     123    0.0007520492   0.0000313460  -0.0007717967   0.0015238459   0.0011488638
     124    0.0007386156   0.0004451544  -0.0012364900   0.0019751056   0.0014653557
     125    0.0012876075  -0.0003286304  -0.0011959124   0.0024835199   0.0019047735
     126    0.0009968279   0.0004455532  -0.0011245196   0.0021213475   0.0020990214
     127    0.0012845534   0.0006576546  -0.0005975218   0.0018820753   0.0013951321
     128    0.0018029874   0.0005661614  -0.0007584802   0.0025614676   0.0019996534
     129    0.0012086536   0.0000777970  -0.0002118891   0.0014205427   0.0012059945
     130    0.0011437632   0.0002257251  -0.0006607399   0.0018045031   0.0013523809
     131    0.0017558062   0.0001327011  -0.0004870952   0.0022429013   0.0015814972
     132    0.0008137667   0.0002229234  -0.0003301850   0.0011439516   0.0009464038
     133    0.0011581033   0.0000537411  -0.0011932254   0.0023513287   0.0017386141
     134    0.0005640134  -0.0000579166  -0.0004235933   0.0009876067   0.0009754419
     135    0.0017962106  -0.0002267164  -0.0014643667   0.0032605773   0.0024239321
     136    0.0008616388   0.0003364888  -0.0008176610   0.0016792998   0.0014057359
     137    0.0011599916   0.0001118677  -0.0004978571   0.0016578487   0.0011818698
     138    0.0013248264   0.0001776356  -0.0006838504   0.0020086769   0.0014360857
     139    0.0009506880  -0.0000090126  -0.0001256743   0.0010763622   0.0009646428
     140    0.0010507557   0.0002006086  -0.0003170026   0.0013677582   0.0013688535
     141    0.0018762623   0.0004371613  -0.0012854650   0.0031617273   0.0023260820
     142    0.0007910353  -0.0000199254  -0.0002076350   0.0009986703   0.0008156642
     143    0.0006089087   0.0001978372  -0.0007197284   0.0013286371   0.0009887063
     144    0.0011488801   0.0007592864  -0.0008547513   0.0020036315   0.0015957750
     145    0.0015787785   0.0001467115  -0.0011359602   0.0027147387   0.0022510309
     146    0.0007029598   0.0005683784  -0.0013725576   0.0020755175   0.0016834962
     147    0.0004022387   0.0002203715  -0.0010134158   0.0014156545   0.0012030646
