
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     14:07:07  JAN 31, 2019 CP=      0.836

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ  
       1    0.0003905516  -0.0006714896   0.0000190809  -0.0006535042  -0.0004174977   0.0002953834
       2   -0.0003312641  -0.0003021421   0.0003346839  -0.0007644510   0.0001198484  -0.0001591417
       3    0.0004316691  -0.0005020536   0.0000653386  -0.0009296771  -0.0002255204  -0.0001736749
       4    0.0009066181  -0.0004238365  -0.0000412551   0.0008277041  -0.0002259319   0.0015843566
       5    0.0009436386  -0.0001597124  -0.0003900940   0.0016382272  -0.0014198597   0.0005445970
       6   -0.0002836073  -0.0004326160   0.0007213371   0.0021883112  -0.0003176659  -0.0001218551
       7   -0.0005530339  -0.0004502985   0.0004841422   0.0001318486   0.0005765231   0.0000333747
       8   -0.0010393302   0.0000762268   0.0003546552   0.0000349204   0.0021233860  -0.0005198124
       9    0.0004620478   0.0007551229  -0.0010785733  -0.0002742628   0.0012427468  -0.0009866910
      10    0.0003094607   0.0010979803  -0.0006090842   0.0008080954   0.0002740508  -0.0006894245
      11   -0.0001808733   0.0011527164  -0.0001441345   0.0013825067  -0.0005979340  -0.0003736996
      12   -0.0004541727   0.0009825816   0.0001510730   0.0005590167  -0.0005822782   0.0005211408
      13   -0.0004119124   0.0009083609   0.0001282213  -0.0006916989  -0.0007034289  -0.0002079810
      14    0.0000711221  -0.0001305751   0.0000368222  -0.0016870747   0.0002431186  -0.0007174871
      15    0.0000475877  -0.0001910011   0.0000811875  -0.0008830217  -0.0005057281   0.0006484469
      16    0.0002745429  -0.0004642340   0.0003831855   0.0000043193  -0.0007993385   0.0000210783
      17    0.0008889910  -0.0002674180   0.0000062954   0.0007773170  -0.0009181076  -0.0009557321
      18    0.0003936562  -0.0005534515   0.0007751723   0.0014349416   0.0001534253  -0.0010836275
      19   -0.0000497601  -0.0002097995   0.0003376787   0.0011327132  -0.0002093559   0.0000061140
      20   -0.0005703275  -0.0004032158   0.0004778175   0.0002990996   0.0016525791   0.0002422280
      21   -0.0004534851   0.0002052963  -0.0003262217   0.0000335310   0.0008462743   0.0005627870
      22   -0.0005053710   0.0003477665   0.0001974316   0.0006804897   0.0006043424  -0.0015499823
      23   -0.0003562099   0.0009328011   0.0001830597   0.0007467964   0.0008138828  -0.0011970469
      24   -0.0003412238   0.0011974009   0.0000361696   0.0008981224   0.0000608998  -0.0003781398
      25    0.0000088147   0.0007868103  -0.0001981934   0.0005739290  -0.0005224142   0.0004189168
      26   -0.0000815359   0.0002517898   0.0002146054   0.0000575679  -0.0008811987   0.0000001024
      27    0.0000056031   0.0001564840   0.0000417147  -0.0005939800   0.0001455690   0.0002140370
      28    0.0005052253  -0.0001481783  -0.0000491537  -0.0009001280  -0.0008235835   0.0000890242
      29    0.0006449853  -0.0002998712   0.0002447641  -0.0002448482  -0.0010225563   0.0003222933
      30    0.0005742252  -0.0002032322   0.0005033037   0.0009266088  -0.0003206188   0.0003233439
      31    0.0008543677   0.0003374291  -0.0003553300   0.0015020645  -0.0014464808  -0.0006683846
      32    0.0003785572  -0.0003949742   0.0000966019   0.0004648617   0.0005831332   0.0011310785
      33    0.0006258297   0.0001226034  -0.0010861530   0.0003740869  -0.0009465988   0.0012459531
      34   -0.0007447090  -0.0007460751   0.0014218652   0.0000820369   0.0021203800  -0.0011228439
      35   -0.0004536258   0.0007062547  -0.0000068835   0.0008393178   0.0006204106   0.0003614613
      36   -0.0001399362   0.0011867865  -0.0002792030   0.0015186856   0.0002088706  -0.0009054726
      37    0.0001783063   0.0012859136  -0.0004452300   0.0010260293   0.0006522517  -0.0000135884
      38   -0.0001457050   0.0006826863   0.0000351491   0.0005524097   0.0005830489   0.0001873715
      39   -0.0000610495   0.0006062967  -0.0003893026   0.0004166116  -0.0006247991   0.0002864111
      40    0.0007482154  -0.0002244371  -0.0000318778  -0.0002765181  -0.0009307709  -0.0001593430
      41    0.0008621294  -0.0003261142   0.0001635007  -0.0003595473  -0.0002990607   0.0002324561
