Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
       1    0.0002661397  -0.0000335769  -0.0006013188   0.0008674584   0.0005870004
       2    0.0003339174   0.0001280106  -0.0009464368   0.0012803542   0.0009160214
       3    0.0006138941   0.0001530067  -0.0009121375   0.0015260316   0.0010428287
       4    0.0006377960   0.0000540961  -0.0003275060   0.0009653020   0.0006477393
       5    0.0011504744   0.0002002795  -0.0011948774   0.0023453517   0.0015717559
       6    0.0007617234   0.0004103163  -0.0015522358   0.0023139592   0.0016613875
       7    0.0005959723  -0.0004414856  -0.0011349437   0.0017309160   0.0011606560
       8    0.0005324646  -0.0004660795  -0.0010524040   0.0015848686   0.0010676351
       9    0.0010939810   0.0001010587  -0.0009896611   0.0020836421   0.0013885765
      10    0.0014713314   0.0001427728  -0.0004495122   0.0019208436   0.0013105748
      11    0.0013288553   0.0002479517  -0.0004709732   0.0017998286   0.0012070538
      12    0.0010944790   0.0003403874  -0.0004226470   0.0015171260   0.0010106748
      13    0.0012296717   0.0006974532  -0.0004773477   0.0017070194   0.0011637179
      14    0.0005481237  -0.0000239004  -0.0003667873   0.0009149110   0.0006158280
      15    0.0004822546   0.0002427576  -0.0006798757   0.0011621303   0.0008175511
      16    0.0005827158   0.0003567839  -0.0007234931   0.0013062089   0.0009301373
      17    0.0009453830  -0.0000941714  -0.0004686040   0.0014139870   0.0009760796
      18    0.0014176025  -0.0002703032  -0.0008147311   0.0022323336   0.0015507911
      19    0.0006047563  -0.0001373185  -0.0008571245   0.0014618808   0.0009739037
      20    0.0000420537  -0.0004087320  -0.0008250312   0.0008670849   0.0005777812
      21    0.0005358918  -0.0004935012  -0.0007413333   0.0012772250   0.0009023923
      22    0.0009354898   0.0002042620  -0.0007691247   0.0017046145   0.0011393820
      23    0.0013181308   0.0003295607  -0.0007487496   0.0020668804   0.0013773332
      24    0.0015110349  -0.0000123644  -0.0004138144   0.0019248493   0.0013529447
      25    0.0009195203   0.0001340004  -0.0003015436   0.0012210639   0.0008245022
      26    0.0005793162  -0.0001464792  -0.0002986857   0.0008780019   0.0006251232
      27    0.0005888479  -0.0000516641  -0.0003684870   0.0009573349   0.0006497888
      28    0.0005083029   0.0002833207  -0.0005474509   0.0010557539   0.0007409044
      29    0.0006053563   0.0004333100  -0.0005401155   0.0011454718   0.0008229804
      30    0.0012845807   0.0000290693  -0.0005657983   0.0018503790   0.0012585893
      31    0.0014360781  -0.0002588092  -0.0006013613   0.0020374394   0.0014535352
      32    0.0008876952  -0.0005193221  -0.0009827235   0.0018704187   0.0012978025
