Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
       1   -0.0005763789  -0.0000446714   0.0002033641  -0.0002913295   0.0001226636  -0.0005536484
       2   -0.0001706256  -0.0005416509   0.0001845908  -0.0010689293  -0.0002310003  -0.0005014414
       3    0.0002918547  -0.0005526920   0.0000791018  -0.0010210381  -0.0005009295  -0.0005863554
       4    0.0004164538  -0.0000945771   0.0000125196   0.0004621646  -0.0005123347  -0.0003579535
       5   -0.0000076376  -0.0000447014   0.0001726574   0.0022393025  -0.0006469521   0.0000532638
       6   -0.0005225423  -0.0003740532   0.0004704591   0.0022265949  -0.0003234198  -0.0001357963
       7   -0.0008538943  -0.0005428054   0.0003702432   0.0007318054   0.0009679865  -0.0001111039
       8   -0.0004510678  -0.0002467127  -0.0003251957  -0.0003494511   0.0015299430  -0.0002742956
       9    0.0000477261   0.0007454473  -0.0006237359  -0.0002940700   0.0012679918  -0.0008468876
      10   -0.0000618922   0.0013264225  -0.0001404076   0.0006541085   0.0005893332  -0.0004820164
      11   -0.0002270917   0.0011134171   0.0001902865   0.0009832750  -0.0003380589   0.0004178108
      12   -0.0002661523   0.0009596157   0.0003310262   0.0003189234  -0.0005927614   0.0005884608
      13   -0.0002944512   0.0010584011   0.0007679526  -0.0010897250  -0.0000938475   0.0002584043
      14    0.0000536206  -0.0000304388   0.0001279566  -0.0007718806   0.0002575314  -0.0005701816
      15    0.0001872743  -0.0003261354   0.0001739166  -0.0009247643  -0.0004141492  -0.0003973045
      16    0.0004616290  -0.0003373625   0.0000822141  -0.0004478835  -0.0009228944  -0.0004795871
      17    0.0005621502  -0.0001920517   0.0000006773   0.0005187103  -0.0006971804  -0.0008796904
      18    0.0004158666  -0.0000973375   0.0000010486   0.0018646942  -0.0007087642  -0.0010718438
      19    0.0000246601  -0.0003355697  -0.0000927400   0.0013523432  -0.0001817039  -0.0003598922
      20   -0.0003627046  -0.0004641894  -0.0003789835   0.0001537696   0.0007971510   0.0002580369
      21   -0.0005174842  -0.0000710515  -0.0001286817   0.0000087350   0.0012662869  -0.0001458763
      22   -0.0004823369   0.0005952236   0.0002294520   0.0003296115   0.0009463420  -0.0008634557
      23   -0.0003072453   0.0011182824   0.0000607512   0.0010388994   0.0003699285  -0.0008890533
      24   -0.0002118646   0.0013043945  -0.0000159233   0.0010884193   0.0001683519  -0.0001884552
      25   -0.0002072541   0.0008665346   0.0001188928   0.0003951581  -0.0001129602   0.0002986836
      26   -0.0001350938   0.0001701243   0.0001676123  -0.0002047203  -0.0007824159   0.0004263009
      27    0.0003237001  -0.0001742351   0.0000301077  -0.0007030852   0.0001035702  -0.0004961111
