        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
           1     -144.420     -144.420     -144.420  -1.76963885   2.54126423   1.10520890
           2     -144.420       54.780     -144.420  -1.78059286   2.42405942   1.10419982
           3     -144.420      253.980     -144.420  -2.06059730   2.30147444   1.05351644
           4     -144.420      453.180     -144.420  -2.18418592   2.23400737   0.89015572
           5     -144.420      652.380     -144.420  -1.82856957   2.33420958   0.82187516
           6     -144.420      851.580     -144.420  -1.24181797   2.20537607   0.59409922
           7     -144.420     1050.780     -144.420  -1.02337924   2.16726698   0.65686250
           8     -144.420     1249.980     -144.420  -0.98719398   2.01802548   0.93343252
           9     -144.420     1449.180     -144.420  -1.13577658   2.11974105   1.35908985
          10     -144.420     1648.380     -144.420  -0.97188101   2.30445402   1.46848387
          11     -144.420     1847.580     -144.420  -0.65339620   2.52458260   1.36312057
          12     -144.420     2046.780     -144.420  -0.48774618   2.73791046   1.26044748
          13     -144.420     2245.980     -144.420  -0.44889539   2.97750256   1.29372195
          14       54.780     -144.420     -144.420  -1.67528505   2.42204019   1.09104647
          15       54.780       54.780     -144.420  -1.90628884   2.41726000   1.10974795
          16       54.780      253.980     -144.420  -1.96962575   2.31807928   0.91445025
          17       54.780      453.180     -144.420  -1.90279180   2.28287217   0.87867903
          18       54.780      652.380     -144.420  -1.62309769   2.18936045   0.68163736
          19       54.780      851.580     -144.420  -1.29560673   2.23869249   0.64679763
          20       54.780     1050.780     -144.420  -1.13751943   2.06621924   0.69301158
          21       54.780     1249.980     -144.420  -1.23317589   2.08118030   0.98955976
          22       54.780     1449.180     -144.420  -1.05094287   2.05745142   1.11454876
          23       54.780     1648.380     -144.420  -0.92653333   2.22423642   1.21176393
          24       54.780     1847.580     -144.420  -0.70231905   2.55791053   1.32550346
          25       54.780     2046.780     -144.420  -0.54748764   2.74701618   1.39965193
          26       54.780     2245.980     -144.420  -0.47230172   2.80086535   1.28908242
          27      253.980     -144.420     -144.420  -1.69884306   2.33114124   1.13298633
          28      253.980       54.780     -144.420  -1.78949999   2.36660426   1.07705312
          29      253.980      253.980     -144.420  -1.90065645   2.29969821   0.94166849
          30      253.980      453.180     -144.420  -1.85219140   2.19716241   0.70315719
          31      253.980      652.380     -144.420  -1.49542152   2.29870524   0.67542549
          32      253.980      851.580     -144.420  -1.30119951   2.17107076   0.56257455
          33      253.980     1050.780     -144.420  -1.24746873   2.22399744   0.86512105
          34      253.980     1249.980     -144.420  -1.25842031   1.94480766   0.82566109
          35      253.980     1449.180     -144.420  -1.33261044   2.08420561   1.00036166
          36      253.980     1648.380     -144.420  -0.98496387   2.25335387   1.05351305
          37      253.980     1847.580     -144.420  -0.74360448   2.50334888   1.20961196
          38      253.980     2046.780     -144.420  -0.55474480   2.73654646   1.38817015
          39      253.980     2245.980     -144.420  -0.47399400   2.85006579   1.41400485
          40      453.180     -144.420     -144.420  -1.66446996   2.36671241   1.16531841
          41      453.180       54.780     -144.420  -1.67741589   2.26046240   1.03865942
          42      453.180      253.980     -144.420  -1.76263674   2.28322319   0.91614983
          43      453.180      453.180     -144.420  -1.59404572   2.24679817   0.73381286
          44      453.180      652.380     -144.420  -1.44324100   2.23679106   0.65311625
          45      453.180      851.580     -144.420  -1.06213962   2.17594060   0.66417623
          46      453.180     1050.780     -144.420  -1.16329717   2.17247626   0.81936921
          47      453.180     1249.980     -144.420  -1.37242346   2.19900549   0.90834825
          48      453.180     1449.180     -144.420  -1.20449303   2.11837921   0.92501710
          49      453.180     1648.380     -144.420  -1.03595641   2.24027478   0.92327667
          50      453.180     1847.580     -144.420  -0.66039719   2.53646152   1.26891543
          51      453.180     2046.780     -144.420  -0.53080182   2.69748572   1.45454126
          52      453.180     2245.980     -144.420  -0.51113380   2.80534181   1.48238133
          53      652.380     -144.420     -144.420  -1.52383831   2.24686829   0.98713021
          54      652.380       54.780     -144.420  -1.39959296   2.32152739   1.08263608
          55      652.380      253.980     -144.420  -1.48087524   2.25978559   0.93547005
          56      652.380      453.180     -144.420  -1.40882988   2.28689916   0.87475135
          57      652.380      652.380     -144.420  -1.08858031   2.23867779   0.80140402
          58      652.380      851.580     -144.420  -0.99336480   2.36654617   0.90113375
          59      652.380     1050.780     -144.420  -0.91484396   2.31877272   0.90073745
          60      652.380     1249.980     -144.420  -1.08774223   2.37962714   0.89615457
          61      652.380     1449.180     -144.420  -1.23609782   2.45406447   0.87375750
          62      652.380     1648.380     -144.420  -0.84730942   2.46152910   1.05304355
          63      652.380     1847.580     -144.420  -0.69866100   2.41289996   1.08582111
          64      652.380     2046.780     -144.420  -0.47398427   2.66876706   1.39640426
          65      652.380     2245.980     -144.420  -0.59766439   2.73837379   1.44485525
          66      851.580     -144.420     -144.420  -1.03961838   2.18580985   0.87993007
          67      851.580       54.780     -144.420  -1.25587789   2.18363860   0.88735486
          68      851.580      253.980     -144.420  -1.08016406   2.28664826   0.91214389
          69      851.580      453.180     -144.420  -0.93896452   2.28860873   0.93263145
          70      851.580      652.380     -144.420  -0.81547754   2.39328557   0.96043527
          71      851.580      851.580     -144.420  -0.70236666   2.39496195   0.97094340
          72      851.580     1050.780     -144.420  -0.80051716   2.49990516   0.98840168
          73      851.580     1249.980     -144.420  -0.98911403   2.59887214   0.90185896
          74      851.580     1449.180     -144.420  -0.96308930   2.54570860   0.83823516
          75      851.580     1648.380     -144.420  -0.91167685   2.48353547   0.85241162
          76      851.580     1847.580     -144.420  -0.65631916   2.51312892   1.09676846
          77      851.580     2046.780     -144.420  -0.67983305   2.63655221   1.24008902
          78      851.580     2245.980     -144.420  -0.65527901   2.65771444   1.18966820
          79     1050.780     -144.420     -144.420  -0.95064532   2.04618002   0.71430747
          80     1050.780       54.780     -144.420  -1.00721365   2.14014901   0.74467515
          81     1050.780      253.980     -144.420  -0.83872684   2.19999666   0.80804524
          82     1050.780      453.180     -144.420  -0.65987291   2.45607541   0.84254169
          83     1050.780      652.380     -144.420  -0.58487588   2.61218584   1.08365268
          84     1050.780      851.580     -144.420  -0.65130763   2.67129078   1.08316882
          85     1050.780     1050.780     -144.420  -0.82137395   2.68001565   1.03347102
          86     1050.780     1249.980     -144.420  -1.02515368   2.60563469   0.82966731
          87     1050.780     1449.180     -144.420  -1.12640047   2.56342180   0.75636876
          88     1050.780     1648.380     -144.420  -0.97367869   2.50782800   0.79846360
          89     1050.780     1847.580     -144.420  -0.90046681   2.45623607   0.80142340
          90     1050.780     2046.780     -144.420  -0.73423586   2.51657024   1.00127339
          91     1050.780     2245.980     -144.420  -0.83910172   2.64433708   1.03329291
          92     1249.980     -144.420     -144.420  -1.11673012   2.09249909   0.68607832
          93     1249.980       54.780     -144.420  -0.95062119   2.08167263   0.72865813
          94     1249.980      253.980     -144.420  -0.91400586   2.19827652   0.62909751
          95     1249.980      453.180     -144.420  -0.84675376   2.41043412   0.78449912
          96     1249.980      652.380     -144.420  -0.81154283   2.75841980   0.88374368
          97     1249.980      851.580     -144.420  -0.90668281   2.77471336   1.00864349
          98     1249.980     1050.780     -144.420  -1.00038249   2.79519910   1.06453150
          99     1249.980     1249.980     -144.420  -1.23992561   2.56557925   0.80392565
         100     1249.980     1449.180     -144.420  -1.22805153   2.41327803   0.72682176
         101     1249.980     1648.380     -144.420  -1.11171745   2.31404815   0.74162054
         102     1249.980     1847.580     -144.420  -0.87299465   2.33001767   0.77777947
         103     1249.980     2046.780     -144.420  -0.75077448   2.49636827   0.83320469
         104     1249.980     2245.980     -144.420  -0.80995555   2.46722489   0.92852999
         105     1449.180     -144.420     -144.420  -1.16275954   2.15564430   0.92425393
         106     1449.180       54.780     -144.420  -1.28489242   2.09716810   0.70581236
         107     1449.180      253.980     -144.420  -1.09519040   2.06595181   0.67225188
         108     1449.180      453.180     -144.420  -1.14749957   2.37620202   0.65882166
         109     1449.180      652.380     -144.420  -1.20078156   2.62018503   0.81118815
         110     1449.180      851.580     -144.420  -1.10385921   2.82776559   1.00596332
         111     1449.180     1050.780     -144.420  -1.22580397   2.70574578   0.91367406
         112     1449.180     1249.980     -144.420  -1.17657999   2.35146643   0.68214350
         113     1449.180     1449.180     -144.420  -1.31073167   2.28905002   0.80577953
         114     1449.180     1648.380     -144.420  -0.88314283   2.03121688   0.66714296
         115     1449.180     1847.580     -144.420  -0.80483632   2.30851977   0.85969569
         116     1449.180     2046.780     -144.420  -0.64421548   2.43062415   1.00487417
         117     1449.180     2245.980     -144.420  -0.61450304   2.49224701   0.92897143
         118     1648.380     -144.420     -144.420  -1.43095957   2.10950497   0.90554865
         119     1648.380       54.780     -144.420  -1.18908105   2.09711276   0.91606625
         120     1648.380      253.980     -144.420  -1.35487973   2.12609095   0.75783144
         121     1648.380      453.180     -144.420  -1.37584553   2.19194509   0.70117208
         122     1648.380      652.380     -144.420  -1.40205432   2.43887482   0.69269258
         123     1648.380      851.580     -144.420  -1.18212650   2.48301645   0.84619323
         124     1648.380     1050.780     -144.420  -1.15911912   2.45154435   0.75952608
         125     1648.380     1249.980     -144.420  -1.24865686   2.26078352   0.73029943
         126     1648.380     1449.180     -144.420  -0.95292423   1.93827112   0.58945475
         127     1648.380     1648.380     -144.420  -0.85689650   2.09338078   0.76313669
         128     1648.380     1847.580     -144.420  -0.56959693   2.14673191   0.88194177
         129     1648.380     2046.780     -144.420  -0.55055798   2.50697802   1.08508694
         130     1648.380     2245.980     -144.420  -0.43121521   2.54608139   1.30396286
         131     1847.580     -144.420     -144.420  -1.16663601   2.11357893   0.95147592
         132     1847.580       54.780     -144.420  -1.16234479   2.15461667   0.88523412
         133     1847.580      253.980     -144.420  -1.29130953   2.17306326   0.92049984
         134     1847.580      453.180     -144.420  -1.45152938   2.09961401   0.68923548
         135     1847.580      652.380     -144.420  -1.24099376   2.02057970   0.66015317
         136     1847.580      851.580     -144.420  -1.31463111   2.13480355   0.68805530
         137     1847.580     1050.780     -144.420  -1.10553688   2.12238008   0.74056355
         138     1847.580     1249.980     -144.420  -0.88293912   2.03478223   0.72625581
         139     1847.580     1449.180     -144.420  -0.87118356   1.96437142   0.79588772
         140     1847.580     1648.380     -144.420  -0.67632082   1.95192217   0.72913049
         141     1847.580     1847.580     -144.420  -0.54733921   2.32534841   1.05526769
         142     1847.580     2046.780     -144.420  -0.44742962   2.46780790   1.17378775
         143     1847.580     2245.980     -144.420  -0.39629209   2.50338179   1.28657130
         144     2046.780     -144.420     -144.420  -0.73349730   2.19381840   0.86268453
         145     2046.780       54.780     -144.420  -0.87969860   2.38806331   1.01364551
         146     2046.780      253.980     -144.420  -1.09499919   2.14843796   0.75553080
         147     2046.780      453.180     -144.420  -1.36203874   2.00025249   0.68685199
         148     2046.780      652.380     -144.420  -1.46266263   1.85165539   0.51180189
         149     2046.780      851.580     -144.420  -1.09632374   1.78205842   0.61028031
         150     2046.780     1050.780     -144.420  -0.87253191   1.75623575   0.68095826
         151     2046.780     1249.980     -144.420  -0.76825305   1.83403736   0.84994738
         152     2046.780     1449.180     -144.420  -0.74549950   1.83652949   0.78564571
         153     2046.780     1648.380     -144.420  -0.61302837   2.00555771   0.90965922
         154     2046.780     1847.580     -144.420  -0.61040638   2.16061831   0.84355940
         155     2046.780     2046.780     -144.420  -0.48530080   2.42822935   1.12685132
         156     2046.780     2245.980     -144.420  -0.36951649   2.33100115   1.00849265
         157     2245.980     -144.420     -144.420  -0.51238198   2.47945627   1.08378470
         158     2245.980       54.780     -144.420  -0.65055485   2.26116592   0.81155914
         159     2245.980      253.980     -144.420  -1.08935039   2.15212215   0.84552567
         160     2245.980      453.180     -144.420  -1.55643748   1.94470060   0.59898752
         161     2245.980      652.380     -144.420  -1.56858758   1.73733388   0.44569633
         162     2245.980      851.580     -144.420  -1.28278249   1.57326137   0.39138344
         163     2245.980     1050.780     -144.420  -0.82321199   1.61053913   0.67007753
         164     2245.980     1249.980     -144.420  -0.56947699   1.65035554   0.84507298
         165     2245.980     1449.180     -144.420  -0.61187523   1.73315103   0.89477548
         166     2245.980     1648.380     -144.420  -0.79297443   1.87192223   0.67236144
         167     2245.980     1847.580     -144.420  -0.59846330   2.17375863   0.86918536
         168     2245.980     2046.780     -144.420  -0.36310704   2.31862112   0.98334578
         169     2245.980     2245.980     -144.420  -0.31817176   2.46832551   1.10568229
         170     -144.420     -144.420       54.780  -1.69663606   2.45910775   1.12556573
         171     -144.420       54.780       54.780  -1.81784201   2.47377944   1.11116067
         172     -144.420      253.980       54.780  -1.95612714   2.36357283   1.07151494
         173     -144.420      453.180       54.780  -1.85710538   2.30482238   0.98273350
         174     -144.420      652.380       54.780  -1.57984806   2.19940178   0.76166750
         175     -144.420      851.580       54.780  -1.31878991   2.22460336   0.74049539
         176     -144.420     1050.780       54.780  -1.05288007   2.11244375   0.74932779
         177     -144.420     1249.980       54.780  -1.14686785   2.08989030   0.96513249
         178     -144.420     1449.180       54.780  -1.08778435   2.09977053   1.13703185
         179     -144.420     1648.380       54.780  -0.85249444   2.35702957   1.33085740
         180     -144.420     1847.580       54.780  -0.69022006   2.50949236   1.32151608
         181     -144.420     2046.780       54.780  -0.52313937   2.65661994   1.32127095
         182     -144.420     2245.980       54.780  -0.48568566   2.80410506   1.37791027
         183       54.780     -144.420       54.780  -1.83209720   2.45176793   1.11961182
         184       54.780       54.780       54.780  -1.76354487   2.40481707   1.11198746
         185       54.780      253.980       54.780  -1.90950298   2.27438551   1.01606228
         186       54.780      453.180       54.780  -1.99967436   2.21639159   0.86884332
         187       54.780      652.380       54.780  -1.76573145   2.33586348   0.92420939
         188       54.780      851.580       54.780  -1.27862649   2.19130169   0.69428468
         189       54.780     1050.780       54.780  -1.19339689   2.22403193   0.78975732
         190       54.780     1249.980       54.780  -1.06718301   2.03898955   0.87929747
         191       54.780     1449.180       54.780  -1.18033525   2.06673434   1.15613011
         192       54.780     1648.380       54.780  -0.95749966   2.28088453   1.31264500
         193       54.780     1847.580       54.780  -0.70089019   2.47609778   1.35557608
         194       54.780     2046.780       54.780  -0.52790075   2.66116180   1.32491660
         195       54.780     2245.980       54.780  -0.53242278   2.73590007   1.33552445
         196      253.980     -144.420       54.780  -1.69334286   2.41607181   1.14558730
         197      253.980       54.780       54.780  -1.73622210   2.29820534   1.08105729
         198      253.980      253.980       54.780  -1.83730542   2.28295296   0.96543892
         199      253.980      453.180       54.780  -1.71534821   2.26641664   0.84340265
         200      253.980      652.380       54.780  -1.61430318   2.08085758   0.52438204
         201      253.980      851.580       54.780  -1.08457797   2.19238310   0.62314261
         202      253.980     1050.780       54.780  -1.06245370   1.90389168   0.51120523
         203      253.980     1249.980       54.780  -1.44148506   2.29956705   1.18761888
         204      253.980     1449.180       54.780  -1.16584151   2.09386541   1.01257763
         205      253.980     1648.380       54.780  -1.02109039   2.19033573   0.97105957
         206      253.980     1847.580       54.780  -0.71801728   2.46594886   1.10636446
         207      253.980     2046.780       54.780  -0.54486507   2.75049335   1.43253921
         208      253.980     2245.980       54.780  -0.51359036   2.69977110   1.32920080
         209      453.180     -144.420       54.780  -1.62328302   2.30796184   1.09742620
         210      453.180       54.780       54.780  -1.63390213   2.32547380   1.09444609
         211      453.180      253.980       54.780  -1.69736044   2.27594113   1.00055510
         212      453.180      453.180       54.780  -1.61246316   2.19977508   0.78196774
         213      453.180      652.380       54.780  -1.21620855   2.21192087   0.67145546
         214      453.180      851.580       54.780  -1.30950245   2.33362049   0.77430591
         215      453.180     1050.780       54.780  -1.11428812   2.19618297   0.80017004
         216      453.180     1249.980       54.780  -1.16035642   2.08318073   0.89865672
         217      453.180     1449.180       54.780  -1.53125958   2.29753144   0.99614257
         218      453.180     1648.380       54.780  -0.88712538   2.33615461   1.09489759
         219      453.180     1847.580       54.780  -0.59789836   2.36718758   0.99729867
         220      453.180     2046.780       54.780  -0.57737022   2.70157227   1.44636566
         221      453.180     2245.980       54.780  -0.47503650   2.73125107   1.47074639
         222      652.380     -144.420       54.780  -1.36959287   2.31740437   1.13129325
         223      652.380       54.780       54.780  -1.52665333   2.20283570   0.93153024
         224      652.380      253.980       54.780  -1.53601183   2.39058319   0.91316785
         225      652.380      453.180       54.780  -1.29956856   2.29095159   0.92480815
         226      652.380      652.380       54.780  -1.13919089   2.32237716   0.93859638
         227      652.380      851.580       54.780  -0.91286592   2.21808187   0.88337046
         228      652.380     1050.780       54.780  -1.05962864   2.37738016   0.91681206
         229      652.380     1249.980       54.780  -1.06401945   2.34434220   0.84324753
         230      652.380     1449.180       54.780  -1.00723745   2.36006897   0.94472761
         231      652.380     1648.380       54.780  -0.94472349   2.30624900   0.97972595
         232      652.380     1847.580       54.780  -0.48894791   2.57102522   1.30392586
         233      652.380     2046.780       54.780  -0.66155702   2.64735221   1.40940902
         234      652.380     2245.980       54.780  -0.54633037   2.68937882   1.46500838
         235      851.580     -144.420       54.780  -1.22579870   2.21587981   0.97304464
         236      851.580       54.780       54.780  -1.08051104   2.26228802   0.93353912
         237      851.580      253.980       54.780  -1.25012254   2.31904082   0.98673915
         238      851.580      453.180       54.780  -1.05868595   2.32523132   0.99988696
         239      851.580      652.380       54.780  -0.76782200   2.35965374   1.04285605
         240      851.580      851.580       54.780  -0.70849667   2.45180282   1.03385897
         241      851.580     1050.780       54.780  -0.85482321   2.49267994   1.01404876
         242      851.580     1249.980       54.780  -0.95930885   2.56384843   0.88342252
         243      851.580     1449.180       54.780  -1.03243056   2.71615872   0.80778380
         244      851.580     1648.380       54.780  -0.86348936   2.53170126   0.94286541
         245      851.580     1847.580       54.780  -0.73302957   2.46477207   0.99350059
         246      851.580     2046.780       54.780  -0.61166048   2.58842406   1.13729189
         247      851.580     2245.980       54.780  -0.64826961   2.67320001   1.30243971
         248     1050.780     -144.420       54.780  -1.00748949   2.17314015   0.78585542
         249     1050.780       54.780       54.780  -1.02582515   2.13775096   0.78074164
         250     1050.780      253.980       54.780  -0.82120145   2.23537087   0.78505693
         251     1050.780      453.180       54.780  -0.74363398   2.38753726   0.92127547
         252     1050.780      652.380       54.780  -0.69079465   2.53384736   0.87162139
