
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     18:23:57  JUL 08, 2019 CP=      5.582

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
       1    0.0033899499  -0.0175722437  -0.0454118262   0.0488017761   0.0326178757
       2    0.0009930762  -0.0150043870  -0.0429306425   0.0439237187   0.0297261388
       3    0.0028025630  -0.0177822506  -0.0391525885   0.0419551514   0.0282384298
       4    0.0075581206  -0.0144268259  -0.0443869932   0.0519451138   0.0353371828
       5    0.0184720430  -0.0156585481  -0.0510835990   0.0695556420   0.0466759632
       6    0.0142670685  -0.0144964356  -0.0502651158   0.0645321843   0.0436361135
       7    0.0188377565  -0.0124524799  -0.0578650501   0.0767028066   0.0525135615
       8    0.0140006660  -0.0239458542  -0.0382985506   0.0522992166   0.0385935217
       9    0.0211746089  -0.0171872544  -0.0554049019   0.0765795108   0.0511179026
      10    0.0239689211  -0.0159429120  -0.0650830744   0.0890519955   0.0598860613
      11    0.0186884776  -0.0145694564  -0.0631159705   0.0818044481   0.0549171112
      12    0.0091117450  -0.0106900105  -0.0616991538   0.0708108988   0.0488005895
      13   -0.0045930074  -0.0230958865  -0.0437861011   0.0391930937   0.0268808333
      14   -0.0151742579  -0.0195457451  -0.0435946950   0.0284204370   0.0211570772
      15   -0.0118143936  -0.0161360507  -0.0507634486   0.0389490550   0.0285008373
      16   -0.0090904356  -0.0145528536  -0.0526571195   0.0435666839   0.0318870655
      17    0.0031946337  -0.0117631824  -0.0666371842   0.0698318179   0.0489879079
      18    0.0012548935  -0.0193784731  -0.0714127165   0.0726676101   0.0505759355
      19   -0.0000478366  -0.0181228674  -0.0707157956   0.0706679590   0.0497301961
      20    0.0023208777  -0.0201059276  -0.0707660129   0.0730868906   0.0506993253
      21    0.0080351409  -0.0190112698  -0.0763746919   0.0844098328   0.0582931124
      22    0.0146574751  -0.0214586242  -0.0789731400   0.0936306152   0.0639390135
      23    0.0127795507  -0.0190556320  -0.0812435145   0.0940230652   0.0644916660
      24    0.0143174530  -0.0160226814  -0.0879243401   0.1022417930   0.0711289717
      25    0.0145920675  -0.0248862693  -0.0788469406   0.0934390082   0.0647500912
      26    0.0175187641  -0.0208034384  -0.0876823605   0.1052011246   0.0721369734
      27    0.0217151168  -0.0237735587  -0.0923555227   0.1140706395   0.0776072547
      28    0.0174921993  -0.0231253985  -0.0898475852   0.1073397844   0.0731543180
      29    0.0052197953  -0.0181191390  -0.0851202161   0.0903400113   0.0634501590
      30   -0.0064024150  -0.0235681469  -0.0752302979   0.0688278829   0.0487326360
      31   -0.0148483276  -0.0208753015  -0.0753995390   0.0605512114   0.0448906985
      32   -0.0165389366  -0.0172679868  -0.0773220302   0.0607830936   0.0477823850
      33   -0.0094460034  -0.0190478065  -0.0797549758   0.0703089724   0.0522199211
      34   -0.0018863651  -0.0166690314  -0.0878502755   0.0859639105   0.0621462362
      35   -0.0015539938  -0.0189169028  -0.1202011795   0.1186471857   0.0858077004
      36   -0.0019527120  -0.0220974848  -0.1190639746   0.1171112627   0.0835005653
      37    0.0007885363  -0.0246604423  -0.1232114988   0.1240000351   0.0873858979
      38    0.0092078559  -0.0283367905  -0.1299559624   0.1391638183   0.0961455450
      39    0.0124832999  -0.0288737444  -0.1337836560   0.1462669559   0.1006531085
      40    0.0118917277  -0.0237677028  -0.1394435709   0.1513352986   0.1055783885
      41    0.0132663161  -0.0200356214  -0.1469228595   0.1601891756   0.1127423857
      42    0.0165601380  -0.0254809482  -0.1470247104   0.1635848484   0.1133704390
      43    0.0186770498  -0.0256836108  -0.1483278698   0.1670049196   0.1154172867
      44    0.0189063648  -0.0246071418  -0.1491393069   0.1680456717   0.1163411457
      45    0.0153917505  -0.0245944776  -0.1451370094   0.1605287599   0.1114424577
      46    0.0057249010  -0.0224722308  -0.1387151651   0.1444400661   0.1022530885
      47   -0.0067751026  -0.0230062865  -0.1320155637   0.1252404610   0.0908834494
      48   -0.0126700626  -0.0251905338  -0.1283148176   0.1156447550   0.0847700487
      49   -0.0156437883  -0.0198861257  -0.1299047343   0.1142609460   0.0866616661
      50   -0.0079228355  -0.0222642458  -0.1314425364   0.1235197009   0.0901003364
      51   -0.0028413893  -0.0228616469  -0.1330575016   0.1302161123   0.0934681194
      52    0.0066523808  -0.0370690508  -0.1503313770   0.1569837578   0.1081859917
      53   -0.0015970317  -0.0251044908  -0.1553876209   0.1537905892   0.1106906070
      54    0.0029710732  -0.0308950457  -0.1575105735   0.1604816467   0.1127561849
      55    0.0076903795  -0.0325389386  -0.1645822426   0.1722726220   0.1201773033
      56    0.0076617707  -0.0276275069  -0.1742595712   0.1819213419   0.1286863944
      57    0.0116332353  -0.0281011088  -0.1810583244   0.1926915596   0.1356210571
      58    0.0145128893  -0.0265410849  -0.1862569468   0.2007698361   0.1413744604
      59    0.0135113590  -0.0227446529  -0.1909290031   0.2044403620   0.1457107276
      60    0.0163904275  -0.0248514910  -0.1923125056   0.2087029330   0.1475334591
      61    0.0164954657  -0.0253288970  -0.1906302337   0.2071256994   0.1461936084
      62    0.0134490025  -0.0253077890  -0.1857055578   0.1991545603   0.1409949768
      63    0.0057039744  -0.0258992125  -0.1773985345   0.1831025090   0.1305874911
      64   -0.0040481254  -0.0273588611  -0.1701102529   0.1660621275   0.1198510524
      65   -0.0095693936  -0.0294789442  -0.1636168564   0.1540474628   0.1118368471
      66   -0.0158519642  -0.0205980326  -0.1645764068   0.1487244426   0.1127049980
      67   -0.0097670985  -0.0218966833  -0.1659184908   0.1561513924   0.1159221090
      68   -0.0017271365  -0.0266764560  -0.1662219452   0.1644948087   0.1182371301
      69    0.0089815264  -0.0407903789  -0.1727295430   0.1817110695   0.1251990337
      70   -0.0008039864  -0.0269937451  -0.1769678022   0.1761638158   0.1271537318
      71    0.0038768744  -0.0338145828  -0.1767076488   0.1805845232   0.1271090189
      72    0.0044284031  -0.0320452712  -0.1841951895   0.1886235925   0.1334258176
      73    0.0099464264  -0.0388739958  -0.1916515465   0.2015979728   0.1402524897
      74    0.0115943306  -0.0378206952  -0.2016082120   0.2132025426   0.1487014183
      75    0.0145686803  -0.0370254723  -0.2072816891   0.2218503694   0.1547180092
      76    0.0192043035  -0.0398982439  -0.2110464522   0.2302507557   0.1594271383
      77    0.0196404216  -0.0394926212  -0.2158747598   0.2355151814   0.1632995906
      78    0.0172390562  -0.0407832444  -0.2130993146   0.2303383709   0.1597007811
      79    0.0149570052  -0.0412517503  -0.2074396930   0.2223966981   0.1541238081
      80    0.0089098587  -0.0396435830  -0.1993476285   0.2082574872   0.1452307633
      81    0.0004364037  -0.0369302596  -0.1897448662   0.1901812699   0.1343514174
      82   -0.0085567721  -0.0286973538  -0.1844275704   0.1758707983   0.1282817176
      83   -0.0145664634  -0.0238680884  -0.1803789858   0.1658125223   0.1242371425
      84   -0.0068201127  -0.0298187566  -0.1794911423   0.1726710296   0.1251064417
      85    0.0026497448  -0.0373377667  -0.1791986076   0.1818483524   0.1273460369
      86    0.0034271241  -0.0302408698  -0.1825222676   0.1859493917   0.1323771333
      87    0.0009974344  -0.0306518530  -0.1801859116   0.1811833460   0.1290884389
      88   -0.0000559689  -0.0300754366  -0.1820787740   0.1820228050   0.1301984236
      89    0.0046069564  -0.0392926169  -0.1828932538   0.1875002102   0.1306993025
      90    0.0079540108  -0.0428076526  -0.1927238820   0.2006778928   0.1391062008
      91    0.0125387709  -0.0521681341  -0.1988137271   0.2113524979   0.1444725170
      92    0.0160897171  -0.0524256929  -0.2073586435   0.2234483605   0.1526197435
      93    0.0183182443  -0.0481380349  -0.2160863948   0.2344046391   0.1612477763
      94    0.0208579704  -0.0559096968  -0.2160520362   0.2369100066   0.1611971628
      95    0.0220626201  -0.0635371903  -0.2132094487   0.2352720688   0.1589885959
      96    0.0176546088  -0.0609382640  -0.2082576912   0.2259123000   0.1530373258
      97    0.0106703491  -0.0508728729  -0.2041333895   0.2148037386   0.1474200858
      98    0.0015131210  -0.0379393824  -0.1975194172   0.1990325382   0.1405003466
      99   -0.0060588546  -0.0335824021  -0.1854859194   0.1794270648   0.1288236723
     100   -0.0120771740  -0.0296768516  -0.1783324838   0.1662553097   0.1217430751
     101   -0.0081920642  -0.0300080726  -0.1769163205   0.1687242563   0.1226821958
     102    0.0042779543  -0.0442238641  -0.1724630092   0.1767409635   0.1217909300
     103    0.0120952302  -0.0500807901  -0.1636146632   0.1757098934   0.1191341123
     104    0.0016254516  -0.0345006414  -0.1685761781   0.1702016296   0.1202487130
     105    0.0022794720  -0.0416067852  -0.1655957739   0.1678752459   0.1161139734
     106    0.0034508427  -0.0425214089  -0.1711459707   0.1745968134   0.1207658597
     107    0.0045391669  -0.0425327130  -0.1792914935   0.1838306604   0.1276011580
     108    0.0098166895  -0.0569664027  -0.1811619057   0.1909785952   0.1293431171
     109    0.0157817631  -0.0643770397  -0.1859426306   0.2017243936   0.1354488362
     110    0.0223364320  -0.0680242320  -0.1891584895   0.2114949215   0.1421139278
     111    0.0253123020  -0.0673894881  -0.1933202797   0.2186325817   0.1470681969
     112    0.0258115175  -0.0702640123  -0.1929311411   0.2187426586   0.1476475848
     113    0.0197398173  -0.0666364379  -0.1918124392   0.2115522566   0.1421622940
     114    0.0144108456  -0.0617899699  -0.1886322448   0.2030430905   0.1368743593
     115    0.0062938470  -0.0495712108  -0.1844659899   0.1907598369   0.1307839316
     116   -0.0064667179  -0.0386704296  -0.1733347622   0.1668680443   0.1181198255
     117   -0.0154266103  -0.0317896898  -0.1628845481   0.1474579378   0.1078202802
     118   -0.0093486247  -0.0352669166  -0.1575590763   0.1482104516   0.1058280067
     119   -0.0025060796  -0.0385946422  -0.1576402239   0.1551341443   0.1085412334
     120    0.0041303741  -0.0433222542  -0.1458417791   0.1499721532   0.1031966763
     121   -0.0048300858  -0.0323625299  -0.1479175607   0.1430874749   0.1020927935
     122    0.0002482284  -0.0482008253  -0.1425203356   0.1427685640   0.0970068517
     123    0.0041343671  -0.0542710932  -0.1464262498   0.1505606168   0.1016100318
     124    0.0019594527  -0.0520432764  -0.1490889586   0.1510484113   0.1026220653
     125    0.0119265380  -0.0670930888  -0.1452792825   0.1572058206   0.1055114437
     126    0.0203999489  -0.0702786798  -0.1459401060   0.1663400549   0.1135413652
     127    0.0223891931  -0.0598435388  -0.1513943980   0.1737835911   0.1175953806
     128    0.0229765283  -0.0497172414  -0.1553611523   0.1783376806   0.1215013622
     129    0.0234040205  -0.0407862599  -0.1615299885   0.1849340090   0.1265523141
     130    0.0291773266  -0.0472719082  -0.1659882538   0.1951655804   0.1341686958
     131    0.0265898065  -0.0600583024  -0.1586077152   0.1851975217   0.1286306042
     132    0.0133372262  -0.0661423538  -0.1466512277   0.1599884538   0.1099190495
     133   -0.0040376622  -0.0568537797  -0.1420026293   0.1379649671   0.0934295152
     134   -0.0175254694  -0.0396840270  -0.1375981740   0.1200727046   0.0857395933
     135   -0.0072526922  -0.0436862470  -0.1359281850   0.1286754929   0.0893281705
     136    0.0075017979  -0.0630757849  -0.1310005243   0.1385023222   0.0925651662
     137    0.0117119212  -0.0688183691  -0.1191584691   0.1308703903   0.0883395780
     138   -0.0084987055  -0.0416572176  -0.1232197822   0.1147210767   0.0818849821
     139   -0.0047152974  -0.0567505190  -0.1147303981   0.1100151007   0.0741531231
     140   -0.0009739692  -0.0598266619  -0.1184275759   0.1174536067   0.0786336625
     141    0.0112475803  -0.0677497911  -0.1132893643   0.1245369446   0.0869472566
     142    0.0168097426  -0.0527182679  -0.1164664344   0.1332761770   0.0908676015
     143    0.0186062643  -0.0324594233  -0.1171077002   0.1357139645   0.0923974076
