
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     18:23:58  JUL 08, 2019 CP=      5.629

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ  
       1   -0.0419766485   0.0016783594  -0.0192958309  -0.0147058833  -0.0089621960  -0.0139307205
       2   -0.0401026187  -0.0002888248  -0.0165505097  -0.0132348633  -0.0058487663  -0.0128257740
       3   -0.0389985460   0.0024093999  -0.0175431300  -0.0047500752  -0.0044967261   0.0015118811
       4   -0.0440036174   0.0069068564  -0.0141589374   0.0008664506   0.0074044141   0.0068083907
       5   -0.0453887659   0.0181512698  -0.0210326080  -0.0030998144   0.0058233522  -0.0261610851
       6   -0.0472650602   0.0139629547  -0.0171923775  -0.0030536848   0.0051445987  -0.0198924083
       7   -0.0485116567   0.0163698395  -0.0193379562  -0.0141244257   0.0111679209  -0.0374398020
       8   -0.0374694018   0.0125662117  -0.0233405487  -0.0095258579   0.0116227172  -0.0057688533
       9   -0.0477007503   0.0207021076  -0.0244189048   0.0088231487   0.0075849121  -0.0298515582
      10   -0.0548988107   0.0238078338  -0.0259660882   0.0007090962  -0.0051720880  -0.0398982563
      11   -0.0543860537   0.0175978643  -0.0222087598  -0.0083182433  -0.0132164626  -0.0363995404
      12   -0.0491401309   0.0077807220  -0.0219180105  -0.0129101947  -0.0122649738  -0.0421863287
      13   -0.0417891376  -0.0067438755  -0.0229419819  -0.0044894658  -0.0125570616  -0.0113731599
      14   -0.0425793440  -0.0175720255  -0.0181633285   0.0074407479  -0.0033183463  -0.0074726823
      15   -0.0423473666  -0.0174047988  -0.0189617276   0.0169211861   0.0038057887  -0.0272286933
      16   -0.0442500891  -0.0138822945  -0.0181680250   0.0259599698   0.0077273624  -0.0209529042
      17   -0.0546796303  -0.0030349928  -0.0174911098   0.0362322355   0.0159510409  -0.0316377968
      18   -0.0703765151  -0.0001037910  -0.0190559901  -0.0090816378  -0.0099644689  -0.0118319285
      19   -0.0703263669  -0.0005015995  -0.0180585332  -0.0086444952  -0.0039693538  -0.0048503037
      20   -0.0705594633   0.0021214882  -0.0201130877  -0.0075482471  -0.0006708873  -0.0014665915
      21   -0.0762667079   0.0078120516  -0.0188961646  -0.0055900650   0.0038053844   0.0017416266
      22   -0.0785204372   0.0143748668  -0.0216287187  -0.0094918007   0.0020714121  -0.0070683987
      23   -0.0807547925   0.0124769670  -0.0192417704  -0.0091965253   0.0027183828  -0.0082101032
      24   -0.0867012006   0.0130593897  -0.0159877576  -0.0116021120   0.0095211211  -0.0165239669
      25   -0.0781225042   0.0133320021  -0.0243506404  -0.0111116367   0.0113853710  -0.0098717458
      26   -0.0865405578   0.0171117929  -0.0215382699  -0.0068011392   0.0061937879  -0.0167091928
      27   -0.0905327163   0.0216720046  -0.0255532529  -0.0043981962  -0.0004998786  -0.0218016842
      28   -0.0882699211   0.0162681810  -0.0234790442  -0.0090851664  -0.0136516629  -0.0185147171
      29   -0.0838378424   0.0042667584  -0.0184484758  -0.0066861404  -0.0093400671  -0.0171868950
      30   -0.0746931768  -0.0068993229  -0.0236083600  -0.0019189041  -0.0058473757  -0.0103037089
      31   -0.0751312715  -0.0156119932  -0.0203799033   0.0058462177  -0.0034058949  -0.0054165639
      32   -0.0755626582  -0.0178599107  -0.0177063847   0.0127332074   0.0022350948  -0.0157888091
      33   -0.0777707613  -0.0117071966  -0.0187708278   0.0158152777   0.0085084799  -0.0150963383
      34   -0.0859106564  -0.0031295856  -0.0173654300   0.0143638826   0.0076272713  -0.0186999656
      35   -0.1197585373  -0.0022606864  -0.0186528525  -0.0144350007  -0.0042873685  -0.0003617194
      36   -0.1186283300  -0.0024584273  -0.0220274141  -0.0136057414  -0.0031725775  -0.0036931650
      37   -0.1227017742   0.0001624348  -0.0245440655  -0.0157728796   0.0034132356  -0.0017045608
      38   -0.1295926865   0.0087810480  -0.0282732584  -0.0141948864   0.0031008881   0.0001179871
      39   -0.1331749046   0.0119498478  -0.0289490437  -0.0164868870  -0.0037516983  -0.0075159775
      40   -0.1385829637   0.0110380297  -0.0237746120  -0.0217283668  -0.0035524792  -0.0056828220
      41   -0.1462180124   0.0119015730  -0.0193757254  -0.0197130592   0.0094570896  -0.0074771585
      42   -0.1459214090   0.0155572115  -0.0255813230  -0.0150858626   0.0095080810  -0.0195601842
      43   -0.1472252552   0.0182854265  -0.0263946021  -0.0142437725   0.0030565579  -0.0198602930
      44   -0.1481027765   0.0187309900  -0.0254682974  -0.0095877763  -0.0031727771  -0.0210039222
      45   -0.1443511479   0.0150765690  -0.0250651575  -0.0084560408  -0.0061719795  -0.0178285087
      46   -0.1384481477   0.0048068878  -0.0218212351  -0.0027939929  -0.0100508253  -0.0107794137
      47   -0.1317691473  -0.0067777957  -0.0232500097  -0.0009171885   0.0002185229  -0.0103195094
      48   -0.1282526035  -0.0133694646  -0.0245533458   0.0042353209  -0.0055396748  -0.0032041339
      49   -0.1295083242  -0.0181294181  -0.0177969059   0.0090443200   0.0046232528  -0.0095945089
      50   -0.1309803842  -0.0106044810  -0.0200447525   0.0083404095   0.0113644477  -0.0115016196
      51   -0.1326605279  -0.0051323483  -0.0209676616   0.0051540773   0.0128844081  -0.0121607068
      52   -0.1495105840   0.0036140256  -0.0348514884  -0.0224409712  -0.0190639532   0.0025587796
      53   -0.1542658625  -0.0029619798  -0.0248613011  -0.0253706423  -0.0058210409  -0.0053866021
      54   -0.1562720725   0.0016790682  -0.0308415416  -0.0280340172   0.0026551428  -0.0017048843
      55   -0.1635203992   0.0066536571  -0.0325640597  -0.0260045335  -0.0032729698  -0.0060257609
      56   -0.1733196491   0.0066728363  -0.0275784947  -0.0259589226  -0.0030088518  -0.0020589977
      57   -0.1799524435   0.0104933132  -0.0280670676  -0.0291086223   0.0023291287  -0.0000467376
      58   -0.1852104727   0.0134666449  -0.0265413145  -0.0286656668  -0.0019359436  -0.0032428663
      59   -0.1903655885   0.0130315854  -0.0228282938  -0.0194578385   0.0011074336  -0.0082259106
      60   -0.1918909318   0.0161341268  -0.0250167640  -0.0114985602   0.0036412603  -0.0133661090
      61   -0.1902870906   0.0163992698  -0.0255758442  -0.0088004753  -0.0009276743  -0.0128178193
      62   -0.1856361060   0.0134378203  -0.0253660587  -0.0029806740   0.0000172370  -0.0061148864
      63   -0.1773900953   0.0057006321  -0.0259043094   0.0003032774  -0.0006358073  -0.0022450512
      64   -0.1700807534  -0.0041548505  -0.0272816355   0.0034188481   0.0029038895  -0.0025764703
