Principal Nodal Strains (computed using Matlab)
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV
       1    0.0046966970  -0.0011985032  -0.0251022864   0.0297989834   0.0210249475
       2    0.0041031255   0.0007051158  -0.0148658814   0.0189690069   0.0134760981
       3    0.0036864747   0.0015548671  -0.0086367931   0.0123232678   0.0087752445
       4    0.0100072859   0.0015587601  -0.0125859340   0.0225932199   0.0152096157
       5    0.0182128899   0.0024051514  -0.0186686952   0.0368815851   0.0246528736
       6    0.0140257646   0.0089659432  -0.0242474604   0.0382732250   0.0277007024
       7    0.0165265786   0.0048722927  -0.0228631603   0.0393897390   0.0269594769
       8    0.0193174576   0.0053817950  -0.0171733271   0.0364907848   0.0245342027
       9    0.0193986287   0.0070080975  -0.0228776391   0.0422762678   0.0289560232
      10    0.0196127191   0.0055351059  -0.0349374374   0.0545501565   0.0377312418
      11    0.0183179964   0.0068641637  -0.0372610965   0.0555790928   0.0390995711
      12    0.0101383117   0.0044308363  -0.0318614834   0.0419997951   0.0303514450
      13    0.0043070331  -0.0090138486  -0.0209747064   0.0252817395   0.0168501432
      14    0.0004084831  -0.0146190422  -0.0206337580   0.0210422411   0.0144400334
      15    0.0050688811  -0.0140235182  -0.0269333023   0.0320021834   0.0214512105
      16    0.0082946830  -0.0073691393  -0.0339578496   0.0422525326   0.0284594144
      17    0.0095203146   0.0012706375  -0.0431954103   0.0527157249   0.0377794684
      18    0.0012946726  -0.0055032615  -0.0741475102   0.0754421828   0.0556025832
      19    0.0004478840  -0.0042196772  -0.0704600097   0.0709078938   0.0528408831
      20    0.0019127884  -0.0042306539  -0.0713782315   0.0732910199   0.0541696673
      21    0.0092338028  -0.0065111737  -0.0766149016   0.0858487044   0.0608918845
      22    0.0139930387  -0.0082087071  -0.0790187585   0.0930117973   0.0647210110
      23    0.0127839438  -0.0062309406  -0.0808492080   0.0936331518   0.0659402158
      24    0.0134283179  -0.0063408159  -0.0822264658   0.0956547837   0.0672786490
      25    0.0161835276  -0.0081588997  -0.0818177604   0.0980012880   0.0679854535
      26    0.0179666561  -0.0090876612  -0.0863854856   0.1043521417   0.0721525734
      27    0.0192982570  -0.0098727684  -0.0908028336   0.1101010906   0.0759999890
      28    0.0154904770  -0.0096972143  -0.0891482900   0.1046387670   0.0727648494
      29    0.0063288234  -0.0091097704  -0.0821929751   0.0885217985   0.0630009247
      30   -0.0040147056  -0.0113402171  -0.0767525724   0.0727378668   0.0533583304
      31   -0.0067114608  -0.0163873339  -0.0762914255   0.0695799647   0.0502169677
