Nodal Strains (computed using Matlab)
     NODE    EPELX          EPELY          EPELZ          EPELXY         EPELYZ         EPELXZ
       1   -0.0118852670  -0.0026366244  -0.0070822013  -0.0192246767  -0.0072368883  -0.0221029793
       2   -0.0077976702   0.0002460439  -0.0025060138  -0.0114455627  -0.0035086103  -0.0141086730
       3   -0.0079413566   0.0032894924   0.0012564128  -0.0002697808  -0.0017700468  -0.0052027879
       4   -0.0120823158   0.0095834611   0.0014789668   0.0017949967   0.0037765688  -0.0049450117
       5   -0.0113351548   0.0166324251  -0.0033479242  -0.0065060320   0.0069901691  -0.0211701176
       6   -0.0090675040   0.0138346585  -0.0060229071   0.0011987919   0.0032537437  -0.0331404514
       7   -0.0054908061   0.0102597099  -0.0062331928  -0.0051868759   0.0113834940  -0.0336774120
       8    0.0007447238   0.0146592375  -0.0078780359  -0.0076282267   0.0117452261  -0.0253562479
       9   -0.0043260801   0.0184331210  -0.0105779537   0.0095502349   0.0063930633  -0.0287186159
      10   -0.0141088087   0.0189915731  -0.0146723768   0.0029592772  -0.0051596748  -0.0410661399
      11   -0.0142943612   0.0158932991  -0.0136778742  -0.0070737681  -0.0166180179  -0.0439077835
      12   -0.0099705350   0.0036004526  -0.0109222530  -0.0076616922  -0.0135360431  -0.0396216699
      13   -0.0084032732  -0.0076997657  -0.0095784831   0.0028575666  -0.0114638616  -0.0222843746
      14   -0.0098644936  -0.0183154418  -0.0066643817   0.0099888612  -0.0060801957  -0.0137174730
      15   -0.0096565261  -0.0209164214  -0.0053149919   0.0152184986   0.0018581443  -0.0232909155
      16   -0.0133594496  -0.0138480181  -0.0058248381   0.0285344461   0.0058435655  -0.0299295624
      17   -0.0247471670  -0.0007034898  -0.0069538014   0.0347155466   0.0114871698  -0.0354474183
      18   -0.0730705056  -0.0014189498  -0.0038666438  -0.0096783144  -0.0074835077  -0.0140510401
      19   -0.0696611641  -0.0004821165  -0.0040885224  -0.0113701694  -0.0035625298  -0.0091658965
      20   -0.0712602935   0.0018154332  -0.0042512367  -0.0052631168  -0.0003478460  -0.0024900546
      21   -0.0764102705   0.0088405562  -0.0063225581  -0.0073759502   0.0036536990  -0.0037322774
      22   -0.0780882346   0.0135846032  -0.0087307956  -0.0117626609   0.0009070382  -0.0125714074
      23   -0.0793008721   0.0123979815  -0.0073933143  -0.0094693789   0.0022878334  -0.0197178734
      24   -0.0803522611   0.0113442274  -0.0061309301  -0.0142341220   0.0090828240  -0.0208037360
      25   -0.0803029761   0.0145779340  -0.0080680906  -0.0095757810   0.0102871863  -0.0198837132
      26   -0.0843547616   0.0176724148  -0.0108241439  -0.0041222696   0.0047586454  -0.0246096478
      27   -0.0880071678   0.0191215246  -0.0124917018  -0.0048978454  -0.0044618733  -0.0291946351
      28   -0.0859679649   0.0142071087  -0.0115941711  -0.0078156730  -0.0117717984  -0.0301602628
      29   -0.0798721367   0.0044134853  -0.0095152707  -0.0066850997  -0.0109837381  -0.0247581543
